#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.7055     2.08     2.60
2011.7082     1.47     2.24
2011.7110     1.64     2.95
2011.7137     1.30     -0.62
2011.7164     1.10     2.94
2011.7192     0.81     0.52
2011.7219     1.51     1.88
2011.7247     1.13     1.48
2011.7274     1.92     1.06
2011.7301     1.10     -0.72
2011.7329     0.96     -0.53
2011.7356     1.01     2.59
2011.7384     1.39     3.21
2011.7411     0.21     1.49
2011.7438     1.35     1.20
2011.7466     0.81     0.76
2011.7493     3.10     3.01
2011.7521     0.75     0.87
2011.7548     1.35     0.36
2011.7575     1.55     1.98
2011.7603     2.09     1.13
2011.7630     1.50     1.68
2011.7658     -1.23     1.09
2011.7685     0.57     1.68
2011.7712     0.78     1.81
2011.7740     1.49     1.89
2011.7767     1.93     3.92
2011.7795     1.80     1.32
2011.7822     1.54     2.21
2011.7849     1.32     2.27
2011.7877     1.48     0.81
2011.7904     0.87     1.53
2011.7932     1.15     -0.59
2011.7959     2.35     2.02
2011.7986     1.79     0.67
2011.8014     1.40     1.12
2011.8041     1.20     0.80
2011.8068     2.18     1.33
2011.8096     1.76     1.28
2011.8123     1.28     0.72
2011.8151     1.12     1.10
2011.8178     1.88     2.78
2011.8205     1.59     1.66
2011.8233     1.89     3.02
2011.8260     0.73     1.99
2011.8288     0.16     0.83
2011.8315     0.97     1.73
2011.8342     2.34     1.18
2011.8370     2.71     3.72
2011.8397     2.15     2.38
2011.8425     1.97     2.73
2011.8452     1.88     1.73
2011.8507     1.18     3.18
2011.8534     1.16     2.27
2011.8699     0.92     1.90
2011.8726     1.03     2.50
2011.8753     0.40     2.13
2011.8781     1.10     3.49
2011.8808     1.27     4.43
2011.8836     1.27     0.76
2011.8863     1.18     3.63
2011.8890     0.93     1.71
2011.8918     0.65     1.90
2012.1079     -0.22     1.06
2012.1107     0.25     4.22
2012.1134     -0.28     2.27
2012.1161     -0.15     1.20
2012.1189     -0.24     3.00
2012.1216     -0.51     1.25
2012.1243     0.31     2.82
2012.1270     -0.01     1.42
2012.1298     -0.55     0.98
2012.1325     0.16     3.87
2012.1352     -0.08     1.76
2012.1380     0.12     0.79
2012.1407     0.26     3.18
2012.1434     1.94     -1.40
2012.1462     0.95     1.08
2012.1489     -0.48     1.31
2012.1516     0.20     3.96
2012.1544     1.23     2.62
2012.1571     0.78     1.67
2012.1598     0.22     2.48
2012.1626     -0.13     3.63
2012.1653     1.24     2.22
2012.1680     0.73     1.37
2012.1708     0.26     0.82
2012.1735     0.78     2.97
2012.1762     0.62     2.93
2012.1790     0.20     1.60
2012.1817     0.41     2.81
2012.1844     0.51     1.24
2012.1872     0.04     1.99
2012.1899     0.12     2.98
2012.1926     -0.09     3.08
2012.1954     1.01     1.43
2012.1981     0.85     3.33
2012.2008     -0.45     0.98
2012.2036     -0.04     2.53
2012.2063     0.39     2.14
2012.2090     1.22     1.56
2012.2117     0.02     3.92
2012.2145     0.18     1.16
2012.2172     0.73     -3.99
2012.2199     -0.65     2.18
2012.2227     -0.62     1.59
2012.2254     0.04     2.67
2012.2281     0.09     2.96
2012.2309     0.44     2.03
2012.2336     -0.32     2.94
2012.2363     4.12     5.05
2012.2391     0.96     3.97
2012.2418     -0.01     3.46
2012.2445     0.29     2.23
2012.2473     -0.60     1.63
2012.2500     0.04     1.17
2012.2527     -0.33     1.44
2012.2555     -0.22     2.27
2012.2582     0.33     2.74
2012.2609     0.01     1.99
2012.2637     -0.42     0.86
2012.2664     -0.13     2.20
2012.2691     1.54     1.71
2012.2719     -0.17     4.09
2012.2746     -1.17     1.80
2012.2773     1.66     4.28
2012.2801     0.83     2.72
2012.2828     0.22     2.78
2012.2855     0.10     3.46
2012.2883     1.17     4.35
2012.2910     1.11     2.97
2012.2937     2.09     3.28
2012.2964     0.12     1.77
2012.2992     1.95     4.78
2012.3019     0.56     1.84
2012.3046     0.70     2.08
2012.3074     0.03     4.01
2012.3101     0.38     3.94
2012.3128     0.78     2.87
2012.3156     0.62     3.26
2012.3183     0.82     3.80
2012.3210     -0.15     2.43
2012.3238     2.10     3.97
2012.3265     5.45     2.55
2012.3292     0.85     3.42
2012.3320     2.06     3.25
2012.3347     0.66     3.11
2012.3374     1.60     1.64
2012.3402     2.04     3.44
2012.3429     2.12     2.07
2012.3456     -0.16     2.43
2012.3484     1.04     2.88
2012.3511     0.54     4.02
2012.3538     0.51     0.73
2012.3566     1.24     0.20
2012.3593     0.26     3.99
2012.3620     1.55     2.65
2012.3648     0.08     -0.41
2012.3675     1.30     3.12
2012.3702     0.75     2.87
2012.3730     1.46     1.86
2012.3757     -1.46     2.05
2012.3784     2.15     1.07
2012.3811     3.39     2.89
2012.3839     0.83     0.85
2012.3866     1.57     2.28
2012.3893     0.93     2.10
2012.3921     -1.25     3.71
2012.3948     1.67     4.62
2012.3975     2.23     0.98
2012.4003     -0.01     -0.74
2012.4030     4.87     3.39
2012.4057     0.90     0.98
2012.4085     1.82     0.97
2012.4112     1.98     3.19
2012.4139     0.51     1.43
2012.4167     0.24     0.33
2012.4194     -0.16     -0.33
2012.4221     1.58     0.38
2012.4249     2.36     -0.07
2012.4276     -0.40     2.54
2012.4303     1.19     2.55
2012.4331     1.29     2.51
2012.4358     0.98     0.92
2012.4385     -0.02     3.60
2012.4413     2.16     0.26
2012.4440     0.57     0.90
2012.4467     1.66     3.99
2012.4495     3.75     2.24
2012.4522     0.82     1.53
2012.4549     1.90     1.36
2012.4577     0.81     1.74
2012.4604     1.17     3.19
2012.4631     2.01     1.76
2012.4658     2.24     1.28
2012.4686     1.09     -0.60
2012.4713     1.78     0.74
2012.4740     -3.13     -4.95
2012.4768     -1.25     -0.34
2012.4795     1.89     0.29
2012.4822     6.45     -2.61
2012.4850     3.01     1.04
2012.4877     2.52     -0.62
2012.4904     1.40     1.65
2012.4932     2.20     1.46
2012.4959     1.06     0.23
2012.4986     2.37     0.66
2012.5014     4.26     1.16
2012.5041     2.69     2.92
2012.5068     1.69     2.79
2012.5096     1.98     -1.93
2012.5123     1.59     -1.49
2012.5150     1.38     -0.10
2012.5178     2.02     1.39
2012.5205     0.14     2.84
2012.5232     2.96     -0.10
2012.5260     0.69     -0.36
2012.5287     3.19     0.72
2012.5314     0.87     -0.71
2012.5342     -0.94     1.08
2012.5369     -1.96     -4.92
2012.5396     3.18     2.66
2012.5423     1.82     -0.01
2012.5451     1.95     -1.30
2012.5478     1.61     -0.34
2012.5505     2.59     1.48
2012.5533     2.66     1.39
2012.5560     1.79     -2.20
2012.5587     1.22     -4.43
2012.5615     2.31     -1.35
2012.5642     2.06     -1.33
2012.5669     2.70     1.90
2012.5697     2.43     -0.28
2012.5724     1.20     -1.01
2012.5751     1.44     -1.69
2012.5779     2.06     1.07
2012.5806     1.01     -1.74
2012.5833     1.61     1.63
2012.5861     0.78     -2.32
2012.5888     3.13     5.00
2012.5915     3.73     -1.80
2012.5943     2.35     -2.55
2012.5970     5.47     2.79
2012.5997     1.05     0.07
2012.6025     2.04     -0.90
2012.6052     1.50     -2.42
2012.6079     1.26     -0.87
2012.6107     2.56     1.26
2012.6134     1.41     0.46
2012.6161     2.77     -0.11
2012.6189     1.45     -0.34
2012.6216     0.94     -2.25
2012.6243     3.54     0.29
2012.6270     1.17     2.23
2012.6298     2.68     1.70
2012.6325     0.44     -1.34
2012.6352     0.09     0.46
2012.6380     1.24     1.50
2012.6407     0.81     0.35
2012.6434     2.06     1.99
2012.6462     1.78     -0.64
2012.6489     1.93     0.47
2012.6516     1.74     1.25
2012.6544     3.08     1.28
2012.6571     1.69     -2.73
2012.6598     2.11     -3.54
2012.6626     2.26     0.82
2012.6653     0.58     -0.65
2012.6680     -0.04     1.57
2012.6708     2.31     0.47
2012.6735     1.69     -0.12
2012.6762     0.47     0.26
2012.6790     1.13     1.35
2012.6817     0.94     1.90
2012.6844     2.92     -0.25
2012.6872     2.01     -0.66
2012.6899     1.67     0.51
2012.6926     0.45     0.89
2012.6954     1.15     0.95
2012.6981     1.94     0.96
2012.7008     0.64     -0.96
2012.7036     0.03     -2.82
2012.7063     0.71     3.91
2012.7090     1.82     0.56
2012.7117     1.68     -0.75
2012.7145     -0.06     -1.23
2012.7172     -0.33     -0.15
2012.7199     0.95     0.86
2012.7227     1.00     1.17
2012.7254     1.33     -0.68
2012.7281     -0.12     3.44
2012.7309     1.15     1.19
2012.7336     0.64     1.66
2012.7363     1.51     1.14
2012.7391     0.22     0.32
2012.7418     0.32     -0.16
2012.7445     1.43     0.15
2012.7473     1.44     0.17
2012.7500     0.57     -0.82
2012.7527     0.04     -0.18
2012.7555     0.52     1.27
2012.7582     0.18     -0.36
2012.7609     1.92     0.77
2012.7637     2.52     -1.49
2012.7664     1.67     2.30
2012.7691     1.39     2.49
2012.7719     1.18     -0.23
2012.7746     2.63     0.42
2012.7773     0.82     -0.39
2012.7801     2.15     0.28
2012.7828     2.15     1.59
2012.7855     1.03     -0.03
2012.7883     2.33     0.81
2012.7910     1.58     0.43
2012.7937     1.15     -0.70
2012.7964     0.69     0.06
2012.7992     -0.17     -0.91
2012.8019     0.31     -0.56
2012.8046     0.71     -1.41
2012.8074     -0.44     0.37
2012.8101     0.66     0.67
2012.8128     1.17     0.64
2012.8156     1.60     0.28
2012.8183     0.26     0.67
2012.8210     0.95     0.72
2012.8238     0.83     0.31
2012.8265     0.79     0.90
2012.8292     0.38     1.09
