#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.4589     -1.11     3.90
2011.4616     0.84     1.44
2011.4644     0.31     1.01
2011.4671     -2.25     -1.49
2011.4699     -0.09     1.72
2011.4726     -1.59     -0.08
2011.4753     1.04     0.53
2011.4781     -0.24     4.85
2011.4808     -3.50     3.42
2011.4836     -1.27     1.94
2011.4863     0.31     1.11
2011.4890     -0.52     -1.04
2011.4918     -1.45     -1.35
2011.4945     1.02     -1.16
2011.4973     2.98     0.55
2011.5000     -1.40     0.01
2011.5027     0.31     -0.56
2011.5055     1.14     1.88
2011.5082     -1.47     -0.96
2011.5110     -1.93     2.24
2011.5137     -0.47     -1.66
2011.5192     0.08     3.23
2011.5247     1.94     -0.49
2011.5301     0.80     1.41
2011.5329     -1.44     0.64
2011.5356     -2.50     3.36
2011.5384     -0.23     2.79
2011.5411     1.80     0.40
2011.5438     -0.46     0.81
2011.5466     -0.73     3.86
2011.5493     1.22     3.18
2011.5521     -2.45     0.24
2011.5548     -1.00     -0.68
2011.5575     -1.35     -1.86
2011.5603     0.10     1.37
2011.5630     1.02     1.81
2011.5658     0.58     -0.64
2011.5685     -1.36     -1.16
2011.5712     0.65     1.94
2011.5740     -1.19     2.69
2011.5767     -2.75     -3.62
2011.5795     -1.02     0.58
2011.5822     1.18     1.14
2011.5849     0.82     5.01
2011.5877     -0.27     2.05
2011.5904     0.73     3.29
2011.5932     0.40     0.64
2011.5959     0.34     -1.19
2011.6014     1.14     0.62
2011.6041     1.35     3.90
2011.6068     1.40     4.69
2011.6096     -0.28     7.49
2011.6123     -0.82     7.05
2011.6151     -0.07     0.66
2011.6178     1.64     1.58
2011.6205     1.18     2.54
2011.6233     0.05     6.98
2011.6260     1.22     5.09
2011.6288     0.01     4.41
2011.6315     -2.80     0.67
2011.6342     1.28     3.48
2011.6370     0.53     0.05
2011.6397     0.27     2.06
2011.6452     -0.37     3.03
2011.6479     -0.56     0.79
2011.6507     0.63     0.69
2011.6534     -1.91     1.03
2011.6562     2.32     1.74
2011.6589     0.41     -1.57
2011.6616     -2.26     -0.60
2011.6644     1.63     0.28
2011.6671     -2.15     2.59
2011.6699     0.75     1.05
2011.6726     -1.84     0.90
2011.6753     1.94     -0.39
2011.6781     1.57     5.10
2011.6808     -0.15     0.30
2011.6836     3.37     3.41
2011.6863     2.38     2.16
2011.6890     3.41     3.88
2011.6918     0.73     3.50
2011.6945     3.25     0.76
2011.6973     2.13     5.20
2011.7000     1.67     3.20
2011.7027     -0.20     1.10
2011.7055     0.58     -0.66
2011.7082     0.99     -0.63
2011.7110     0.41     2.31
2011.7137     0.84     2.36
2011.7164     1.87     4.51
2011.7192     2.84     1.86
2011.7219     -0.69     -2.16
2011.7247     1.54     2.00
2011.7274     2.46     0.35
2011.7301     0.77     -0.57
2011.7329     -0.09     -0.07
2011.7356     -1.20     1.86
2011.7384     -0.74     0.44
2011.7411     -0.79     3.21
2011.7438     -1.92     -2.75
2011.7466     0.00     1.31
2011.7493     1.48     0.70
2011.7521     1.94     2.55
2011.7548     0.21     1.46
2011.7575     -0.85     1.20
2011.7603     0.51     0.35
2011.7630     -0.71     -1.23
2011.7658     -1.49     1.85
2011.7685     0.52     2.27
2011.7712     1.07     2.85
2011.7740     -1.61     1.00
2011.7795     0.18     -0.11
2011.7822     -1.16     0.90
2011.7849     -1.42     0.39
2011.7877     -4.01     1.72
2011.7904     -1.86     2.10
2011.7932     -0.64     2.47
2011.7959     0.80     3.32
2011.7986     -0.71     1.37
2011.8014     -0.57     -0.16
2011.8041     -0.56     -0.46
2011.8068     -0.99     3.35
2011.8096     3.75     -0.14
2011.8123     1.22     1.69
2011.8151     -0.06     -1.12
2011.8178     -4.23     0.88
2011.8205     1.90     1.18
2011.8233     -1.58     0.02
2011.8260     0.74     0.53
2011.8288     -1.40     -1.04
2011.8315     -1.06     2.80
2011.8342     0.43     3.53
2011.8370     -0.91     2.90
2011.8397     -0.75     0.20
2011.8425     0.22     0.82
2011.8452     -1.01     0.87
2011.8479     -2.26     -0.43
2011.8507     -0.37     0.63
2011.8534     0.10     0.40
2011.8562     1.45     2.07
2011.8589     -0.39     0.30
2011.8616     -0.19     0.60
2011.8644     -0.11     1.55
2011.8671     -0.96     0.12
2011.8699     -3.13     0.61
2011.8726     -2.13     1.40
2011.8753     -2.45     -1.54
2011.8781     -1.23     0.02
2011.8808     -0.20     0.70
2011.8836     -1.96     -0.27
2011.8863     -0.58     1.12
2011.8890     -1.94     1.66
2011.8918     -1.85     2.32
2011.8945     -0.94     2.15
2011.8973     -3.06     0.44
2011.9000     -2.04     0.51
2011.9027     -1.40     0.13
2011.9055     -1.30     1.24
2011.9082     -0.15     0.82
2011.9110     -0.50     1.43
2011.9137     0.79     0.97
2011.9164     -1.41     -1.25
2011.9192     -0.50     -0.08
2011.9274     -0.85     2.30
2011.9301     -0.39     0.43
2011.9329     -1.45     0.61
2011.9356     -2.18     -0.27
2011.9384     -0.23     -1.83
2011.9411     4.19     -0.98
2011.9438     1.70     1.48
2011.9466     0.06     1.20
2011.9493     -1.31     -1.10
2011.9521     0.66     0.33
2011.9548     -1.12     1.42
2011.9575     4.96     1.09
2011.9603     -0.41     1.83
2011.9630     -1.04     1.17
2011.9658     -2.66     0.32
2011.9685     -1.56     -1.19
2011.9712     -4.41     2.02
2011.9740     -1.12     1.08
2011.9767     0.79     2.46
2011.9795     -3.09     3.51
2011.9822     -1.52     4.01
2011.9849     3.87     4.16
2011.9877     5.66     1.58
2011.9904     -0.29     0.37
2011.9932     -0.50     0.05
2011.9959     -1.10     0.45
2011.9986     -1.14     1.60
2012.0014     -4.48     -2.11
2012.0041     -1.84     8.01
2012.0068     -1.53     2.76
2012.0096     -0.06     2.14
2012.0123     1.57     2.85
2012.0150     3.65     4.21
2012.0178     2.57     0.82
2012.0205     6.00     3.71
2012.0232     -3.31     1.30
2012.0260     -3.46     -1.95
2012.0287     -1.50     1.10
2012.0342     -3.52     3.33
2012.0369     -2.13     -1.06
2012.0396     -2.20     -0.53
2012.0423     5.33     5.50
2012.0451     0.03     4.06
2012.0478     -4.56     -0.06
2012.0505     -2.57     6.43
2012.0533     -9.99     1.38
2012.0560     2.14     3.35
2012.0587     -4.22     0.04
2012.0615     4.02     0.99
2012.0642     -3.86     -2.06
2012.0669     -1.27     -0.29
2012.0697     7.12     0.93
2012.0724     0.09     -3.22
2012.0751     1.87     1.32
2012.0779     1.16     1.19
2012.0806     2.78     1.29
2012.0833     -0.60     -0.68
2012.0861     -1.61     0.73
2012.0888     1.93     -1.79
2012.0915     -1.42     1.47
2012.0943     -0.29     -1.49
2012.0970     6.35     7.53
2012.0997     -2.68     -1.04
2012.1025     5.35     3.29
2012.1052     -1.70     6.11
2012.1079     -3.27     5.44
2012.1107     -1.08     2.29
2012.1134     0.21     3.17
2012.1161     2.79     4.19
2012.1189     0.35     3.57
2012.1216     2.65     0.79
2012.1243     0.62     -1.14
2012.1270     1.49     0.45
2012.1298     0.93     4.15
2012.1325     -0.28     -1.28
2012.1352     2.19     0.84
2012.1380     -2.83     -2.15
2012.1407     0.79     0.89
2012.1434     -2.47     -2.76
2012.1462     -5.55     -2.56
2012.1489     10.91     5.27
2012.1516     17.84     6.21
2012.1544     2.15     2.99
2012.1571     -0.65     -2.23
2012.1598     2.55     5.82
2012.1626     3.74     3.20
2012.1653     -3.73     1.97
2012.1680     2.26     6.47
2012.1708     -1.51     1.95
2012.1735     -2.65     -0.30
2012.1762     -1.60     -1.55
2012.1790     7.74     6.22
2012.1817     4.38     -0.63
2012.1844     2.15     -10.89
2012.1872     5.01     0.15
2012.1899     8.79     0.50
2012.1926     3.69     2.65
2012.1954     1.73     1.52
2012.1981     3.66     -2.88
2012.2008     5.96     5.64
2012.2036     -4.27     -2.26
2012.2063     -1.73     0.06
2012.2090     -0.56     -0.94
2012.2117     -0.50     0.29
2012.2145     -1.38     -0.12
2012.2172     -3.41     -1.46
2012.2199     1.86     -5.56
2012.2227     -2.72     -1.51
2012.2254     -0.79     1.36
2012.2281     -2.69     0.44
2012.2309     -0.80     3.43
2012.2336     -1.35     -0.73
2012.2363     -1.86     0.04
2012.2391     -2.86     1.46
2012.2418     8.41     4.83
2012.2445     -0.46     1.44
2012.2473     -3.61     -6.44
2012.2500     -3.09     -4.39
2012.2527     -0.52     -0.86
2012.2555     -2.96     2.53
2012.2582     -3.32     -0.29
2012.2609     1.17     -2.20
2012.2637     -1.93     -2.01
2012.2664     -1.16     1.12
2012.2691     -4.23     -3.12
2012.2719     -1.49     1.59
2012.2746     -2.94     -2.54
2012.2773     -0.96     -3.65
2012.2801     -4.47     -0.81
2012.2828     -3.07     0.16
2012.2855     0.85     0.32
2012.2883     -2.97     -1.12
2012.2910     1.42     2.99
2012.2937     -0.51     -1.09
2012.2964     4.83     -2.76
2012.2992     3.52     -3.08
2012.3019     -1.32     -4.73
2012.3046     -1.68     -3.09
2012.3074     10.55     4.32
2012.3101     15.65     11.51
2012.3128     9.25     1.04
2012.3156     -3.89     0.01
2012.3183     -3.33     -2.22
2012.3210     4.35     3.48
2012.3238     5.41     4.62
2012.3265     -3.16     -2.10
2012.3292     -0.95     -2.27
2012.3320     -5.26     -2.90
2012.3347     0.02     2.07
2012.3374     -3.37     1.87
2012.3402     -2.73     -1.34
2012.3429     -1.70     -2.45
2012.3456     -0.71     0.42
2012.3484     0.00     -0.51
2012.3511     -0.09     2.68
2012.3538     0.81     -0.76
2012.3566     -1.16     -1.16
2012.3593     -2.87     -4.17
2012.3620     -3.44     -0.32
2012.3648     -3.19     -0.13
2012.3675     -6.68     -3.08
2012.3702     -1.43     0.97
2012.3730     -1.69     0.01
2012.3757     -1.76     -1.24
2012.3784     -0.83     -2.88
2012.3811     -3.27     -2.31
2012.3839     -0.80     -0.19
2012.3866     -2.28     -2.87
2012.3893     -0.85     -3.96
2012.3921     -1.61     1.22
2012.3948     -0.74     1.32
2012.3975     -1.12     0.41
2012.4003     -0.85     -7.25
2012.4030     0.50     -0.08
2012.4057     3.22     4.76
2012.4085     -3.58     -4.85
2012.4112     -3.62     -2.36
2012.4139     -2.74     -2.26
2012.4167     -1.41     -2.84
2012.4194     -3.01     -4.86
2012.4221     0.89     -0.70
2012.4249     -1.58     -1.06
2012.4276     -1.72     1.20
2012.4303     2.69     2.35
2012.4331     -2.09     -2.82
2012.4358     -1.34     -1.18
2012.4385     -2.12     -0.33
2012.4413     -1.16     -1.06
2012.4440     1.29     0.16
2012.4467     -0.57     -0.15
2012.4495     -2.76     -5.92
2012.4522     2.31     -3.80
2012.4549     -0.17     -0.45
2012.4577     0.58     0.60
2012.4604     0.14     -1.10
2012.4631     -0.12     -2.50
2012.4658     -2.74     -2.53
2012.4686     0.01     -0.63
2012.4713     2.34     1.53
2012.4740     0.62     0.00
2012.4768     1.48     -1.69
2012.4795     1.49     -1.99
2012.4822     2.40     1.25
2012.4850     -3.29     -1.97
2012.4877     -0.68     0.26
2012.4904     -1.67     -1.13
2012.4932     1.16     -2.73
2012.4959     -0.62     -2.38
2012.4986     -2.65     0.15
2012.5014     2.24     -0.40
2012.5041     0.69     -1.35
2012.5068     1.14     -0.25
2012.5096     -2.55     1.39
2012.5123     -3.10     -0.84
2012.5150     2.92     -0.18
2012.5178     -0.79     -2.42
2012.5205     0.10     -0.97
2012.5232     0.57     0.88
2012.5260     -0.68     0.02
2012.5287     0.65     -0.99
2012.5314     0.16     0.09
2012.5342     0.03     1.47
2012.5369     0.12     -1.29
2012.5396     -1.45     -2.85
2012.5423     -0.35     -3.46
2012.5451     0.05     0.71
2012.5478     -2.89     0.44
2012.5505     -2.99     1.09
2012.5533     -0.35     -1.55
2012.5560     0.12     -1.18
2012.5587     1.66     0.19
2012.5615     0.29     2.06
2012.5642     1.85     0.63
2012.5669     0.34     0.60
2012.5697     0.42     3.78
2012.5724     -0.64     -0.64
2012.5751     0.27     -0.37
2012.5779     0.02     -0.13
2012.5806     -2.97     -3.42
2012.5833     0.24     -0.71
2012.5861     -2.89     -1.58
2012.5888     -1.68     3.39
2012.5915     0.25     -0.86
2012.5943     1.47     1.29
2012.5970     0.25     1.35
2012.5997     -0.05     -2.31
2012.6025     -2.59     -0.20
2012.6052     -1.76     -2.80
2012.6079     0.46     6.25
2012.6107     0.14     2.27
2012.6134     0.69     5.08
2012.6161     0.85     3.72
2012.6189     -1.36     0.31
2012.6216     -3.26     1.01
2012.6243     -2.09     2.39
2012.6270     -1.31     1.07
2012.6298     -1.92     -0.16
2012.6325     0.59     3.92
2012.6352     1.04     1.15
2012.6380     1.47     -1.18
2012.6407     -0.33     1.38
2012.6434     -0.49     1.69
2012.6462     0.00     3.42
2012.6489     0.84     1.26
2012.6516     -0.76     -0.02
2012.6544     -2.98     -0.18
2012.6571     -0.75     1.46
2012.6598     -0.59     -0.05
2012.6626     -0.71     3.11
2012.6653     -0.78     0.67
2012.6680     -1.24     0.59
2012.6708     0.43     0.59
2012.6735     0.79     1.16
2012.6762     0.43     1.32
2012.6790     2.00     1.23
2012.6817     0.58     3.50
2012.6844     3.26     1.93
2012.6872     -0.76     0.49
2012.6899     1.62     2.98
2012.6926     1.63     3.13
2012.6954     1.07     -0.45
2012.6981     -0.17     0.34
2012.7008     0.96     3.17
2012.7036     1.41     3.82
2012.7063     2.44     2.41
2012.7090     1.43     1.59
2012.7117     0.93     2.53
2012.7145     -0.74     -0.75
2012.7172     2.16     1.86
2012.7199     -0.11     2.27
2012.7227     1.73     0.47
2012.7254     1.20     1.23
2012.7281     0.32     0.37
2012.7309     1.44     -0.68
2012.7336     -1.04     0.16
2012.7363     2.30     0.15
2012.7391     -1.97     1.03
2012.7418     -1.36     1.37
2012.7445     4.74     4.16
2012.7473     -2.30     -1.78
2012.7500     -0.12     0.86
2012.7527     0.53     1.81
2012.7555     -0.17     0.36
2012.7582     1.46     -2.36
2012.7609     0.24     -0.96
2012.7637     1.72     1.40
2012.7664     3.00     2.58
2012.7691     5.42     1.98
2012.7719     2.42     2.24
2012.7746     -0.13     1.09
2012.7773     5.24     -0.86
2012.7801     0.27     -1.58
2012.7828     1.07     0.24
2012.7855     3.27     2.60
2012.7883     3.28     3.19
2012.7910     2.53     1.84
2012.7937     2.62     2.06
2012.7964     0.10     -0.26
2012.7992     4.31     3.55
2012.8019     2.40     2.61
2012.8046     2.17     -0.71
2012.8074     4.05     0.94
2012.8101     -0.77     -0.39
2012.8128     2.92     4.93
2012.8156     -1.81     0.39
2012.8183     2.74     2.40
2012.8210     2.50     2.34
2012.8238     2.43     1.25
2012.8265     3.69     1.06
2012.8292     2.17     1.92
2012.8320     0.89     1.18
2012.8347     -1.23     1.26
2012.8374     0.14     2.20
2012.8402     2.19     -0.18
2012.8429     -2.24     -0.61
2012.8456     -5.52     -1.46
2012.8484     4.52     3.46
2012.8511     10.28     0.93
2012.8538     4.48     0.44
2012.8566     3.78     -0.57
2012.8593     2.31     -0.71
2012.8620     -1.00     -0.10
2012.8648     0.26     -0.74
2012.8675     9.36     0.45
2012.8702     4.34     3.85
2012.8730     -0.86     -1.06
2012.8757     3.96     -1.96
2012.8784     1.52     0.24
2012.8811     2.84     -0.79
2012.8839     13.17     -2.77
2012.8866     5.16     1.80
2012.8893     3.60     -3.61
2012.8921     5.69     1.32
2012.8948     -1.53     1.03
2012.8975     -4.73     0.39
2012.9003     3.30     5.18
2012.9030     3.24     0.52
2012.9057     4.12     -0.71
2012.9085     0.66     -1.41
2012.9112     6.71     1.35
2012.9139     2.46     2.85
2012.9167     1.48     -1.06
2012.9194     4.26     1.30
2012.9221     7.38     4.39
2012.9249     0.58     -2.25
2012.9276     1.54     -0.45
2012.9303     0.91     -0.22
2012.9331     1.12     0.25
2012.9358     0.07     2.96
2012.9385     9.95     3.29
2012.9413     0.11     0.46
2012.9440     2.89     3.12
2012.9467     0.61     0.84
2012.9495     6.56     -0.94
2012.9522     6.71     -2.01
2012.9549     -0.24     -0.00
2012.9577     6.23     1.61
2012.9604     5.59     2.13
2012.9631     3.87     -1.19
2012.9658     5.37     1.79
2012.9686     5.90     0.72
2012.9713     0.94     0.61
2012.9740     0.25     1.23
2012.9768     2.34     -0.07
2012.9795     2.96     2.06
2012.9822     5.39     -2.24
2012.9850     0.81     -0.72
2012.9877     1.10     0.54
2012.9904     7.36     5.10
2012.9932     0.79     2.22
2012.9959     3.69     4.53
2012.9986     -0.90     0.55
2013.0014     0.16     0.21
2013.0041     1.39     -0.15
2013.0068     2.40     -1.72
2013.0096     7.81     2.90
2013.0123     1.24     4.16
2013.0151     2.37     4.03
2013.0178     0.81     3.52
2013.0205     0.24     -0.07
2013.0233     2.80     1.38
2013.0260     1.23     -0.48
2013.0288     1.76     -1.54
2013.0315     2.73     1.16
2013.0342     0.52     -0.17
2013.0370     1.60     -0.20
2013.0397     -1.56     -2.44
2013.0425     2.35     -1.55
2013.0452     1.88     -0.00
2013.0479     -0.62     -3.49
2013.0507     5.42     3.41
2013.0534     4.03     1.71
2013.0562     2.79     0.55
2013.0589     2.26     0.87
2013.0616     2.78     0.54
2013.0644     1.17     -0.31
2013.0671     1.17     1.02
2013.0699     1.31     -0.66
2013.0726     4.54     2.51
2013.0753     0.91     -0.25
2013.0781     -0.17     1.55
2013.0808     -1.28     -0.23
2013.0836     2.02     -1.61
2013.0863     1.35     -1.70
2013.0890     2.06     -1.74
2013.0918     -0.37     -2.65
2013.0945     1.26     -3.58
2013.0973     1.71     0.34
2013.1000     6.38     0.36
2013.1027     5.73     1.91
2013.1055     2.16     2.31
2013.1082     6.58     0.80
2013.1110     6.86     1.31
2013.1137     3.45     1.69
