#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2012.0943     -17.16     5.64
2012.0970     -15.33     5.75
2012.0997     -16.77     6.22
2012.1025     -16.41     5.80
2012.1052     -14.72     5.17
2012.1079     -17.14     6.55
2012.1107     -18.36     5.15
2012.1134     -17.43     3.75
2012.1161     -16.49     6.46
2012.1189     -15.78     5.82
2012.1216     -16.22     5.57
2012.1243     -17.59     5.91
2012.1270     -15.01     3.49
2012.1298     -17.43     5.81
2012.1325     -16.94     5.20
2012.1352     -17.67     6.37
2012.1380     -18.10     5.40
2012.1407     -19.23     7.84
2012.1434     -17.08     6.42
2012.1462     -17.98     6.15
2012.1489     -17.74     7.54
2012.1516     -17.39     6.71
2012.1544     -18.11     7.05
2012.1571     -18.86     5.86
2012.1598     -17.09     6.01
2012.1626     -18.40     5.37
2012.1653     -18.67     7.70
2012.1680     -19.42     7.23
2012.1708     -17.06     6.09
2012.1735     -16.74     6.31
2012.1762     -18.23     6.60
2012.1790     -16.21     6.08
2012.1817     -21.32     10.98
2012.1844     -17.00     8.93
2012.1872     -17.48     7.79
2012.1899     -19.27     5.60
2012.1926     -17.03     6.79
2012.1954     -17.37     5.46
2012.1981     -18.69     2.98
2012.2008     -18.76     5.90
2012.2036     -18.12     4.79
2012.2063     -18.80     5.62
2012.2090     -17.51     6.37
2012.2117     -17.34     6.67
2012.2145     -16.30     7.27
2012.2172     -18.91     6.41
2012.2199     -15.88     7.01
2012.2227     -19.75     7.34
2012.2254     -17.25     5.90
2012.2281     -19.06     6.50
2012.2309     -18.79     6.65
2012.2336     -20.31     6.44
2012.2363     -20.15     6.04
2012.2391     -16.53     5.56
2012.2418     -19.87     7.00
2012.2445     -19.42     8.27
2012.2473     -18.25     6.31
2012.2500     -19.04     7.00
2012.2527     -18.72     6.08
2012.2555     -18.54     6.49
2012.2582     -19.05     6.80
2012.2609     -21.34     4.51
2012.2637     -18.16     7.18
2012.2664     -20.64     6.75
2012.2691     -17.88     6.60
2012.2719     -19.59     7.65
2012.2746     -17.42     5.59
2012.2773     -19.71     5.56
2012.2801     -19.33     5.95
2012.2828     -17.40     6.72
2012.2855     -19.80     5.31
2012.2883     -20.34     6.37
2012.2910     -20.80     6.85
2012.2937     -18.12     4.79
2012.2964     -19.54     6.59
2012.2992     -20.22     7.01
2012.3019     -19.49     6.97
2012.3046     -19.24     7.64
2012.3074     -21.42     6.31
2012.3101     -21.56     7.73
2012.3128     -20.42     7.14
2012.3156     -18.36     6.79
2012.3183     -17.56     7.02
2012.3210     -18.87     4.84
2012.3238     -19.76     6.22
2012.3265     -22.03     7.09
2012.3292     -17.69     6.07
2012.3320     -19.78     6.32
2012.3347     -17.54     6.59
2012.3374     -20.86     7.71
2012.3402     -21.60     10.43
2012.3429     -20.84     6.77
2012.3456     -18.46     4.18
2012.3484     -19.12     7.26
2012.3511     -19.92     10.02
2012.3538     -22.39     9.58
2012.3566     -20.89     5.67
2012.3593     -19.97     5.62
2012.3620     -18.53     6.90
2012.3648     -21.43     6.93
2012.3675     -19.42     7.34
2012.3702     -20.87     7.41
2012.3730     -21.33     6.46
2012.3757     -23.17     5.74
2012.3784     -21.70     7.61
2012.3811     -19.71     8.03
2012.3839     -20.65     7.38
2012.3866     -21.37     8.23
2012.3893     -16.83     7.29
2012.3921     -19.89     8.66
2012.3948     -19.34     7.29
2012.3975     -20.46     7.98
2012.4003     -20.14     8.81
2012.4030     -19.32     9.75
2012.4057     -21.29     7.77
2012.4085     -20.54     7.62
2012.4112     -19.54     8.34
2012.4139     -19.73     9.07
2012.4167     -20.38     8.14
2012.4194     -21.72     8.66
2012.4221     -19.77     8.59
2012.4249     -19.83     6.15
2012.4276     -21.27     6.63
2012.4303     -20.93     8.58
2012.4331     -20.29     7.78
2012.4358     -20.60     9.10
2012.4385     -16.99     8.41
2012.4413     -22.02     8.74
2012.4440     -21.00     7.49
2012.4467     -22.64     8.71
2012.4495     -22.30     9.32
2012.4522     -21.67     9.55
2012.4549     -22.13     6.95
2012.4577     -18.44     7.87
2012.4604     -19.90     8.46
2012.4631     -20.91     7.85
2012.4658     -21.21     7.21
2012.4686     -22.38     8.45
2012.4713     -20.63     8.19
2012.4740     -21.20     7.10
2012.4768     -23.12     9.32
2012.4795     -20.04     8.55
2012.4822     -21.14     9.74
2012.4850     -20.17     9.45
2012.4877     -20.94     9.21
2012.4904     -21.72     8.35
2012.4932     -20.23     9.49
2012.4959     -21.15     8.20
2012.4986     -22.61     11.78
2012.5014     -20.95     9.52
2012.5041     -20.64     9.02
2012.5068     -22.70     10.08
2012.5096     -21.55     9.58
2012.5123     -21.19     9.67
2012.5150     -20.81     9.85
2012.5178     -21.77     9.92
2012.5205     -21.46     10.24
2012.5232     -21.13     8.19
2012.5260     -23.16     9.34
2012.5287     -20.93     8.89
2012.5314     -20.11     8.08
2012.5342     -22.59     9.09
2012.5369     -21.26     10.33
2012.5396     -20.82     10.06
2012.5423     -21.62     9.52
2012.5451     -21.00     8.63
2012.5478     -21.87     9.06
2012.5505     -19.40     9.18
2012.5533     -21.02     10.49
2012.5560     -19.12     9.53
2012.5587     -22.33     9.96
2012.5615     -20.69     9.16
2012.5642     -22.53     8.74
2012.5669     -19.90     10.62
2012.5697     -16.49     11.10
2012.5724     -19.79     9.84
2012.5751     -18.52     12.04
2012.5779     -20.64     12.21
2012.5806     -22.25     10.84
2012.5833     -20.40     8.98
2012.5861     -21.16     8.62
2012.5888     -21.33     11.61
2012.5915     -14.72     12.17
2012.5943     -16.46     8.71
2012.5970     -20.87     8.14
2012.5997     -19.17     9.66
2012.6025     -20.61     8.59
2012.6052     -19.87     8.86
2012.6079     -23.21     9.06
2012.6107     -21.99     10.06
2012.6134     -22.62     11.58
2012.6161     -20.08     12.18
2012.6189     -19.14     11.29
2012.6216     -21.38     11.12
2012.6243     -23.48     9.85
2012.6270     -22.02     9.56
2012.6298     -20.09     9.61
2012.6325     -19.04     11.64
2012.6352     -21.37     10.39
2012.6380     -22.27     9.31
2012.6407     -20.50     10.17
2012.6434     -20.41     10.12
2012.6462     -21.08     9.80
2012.6489     -20.63     9.43
2012.6516     -22.80     9.22
2012.6544     -21.32     10.67
2012.6571     -19.94     10.24
2012.6598     -22.36     9.16
2012.6626     -22.46     9.32
2012.6653     -22.51     12.75
2012.6680     -21.37     9.88
2012.6708     -21.13     9.32
2012.6735     -23.09     9.50
2012.6762     -24.29     9.42
2012.6790     -21.84     10.38
2012.6817     -23.90     11.85
2012.6844     -22.24     9.80
2012.6872     -21.67     10.68
2012.6899     -21.71     10.30
2012.6926     -20.36     9.36
2012.6954     -21.44     9.72
2012.6981     -24.16     10.98
2012.7008     -21.57     10.42
2012.7036     -23.28     9.31
2012.7063     -22.33     10.27
2012.7090     -23.60     9.92
