#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.6288     8.21     13.86
2011.6315     5.42     10.14
2011.6342     9.52     12.98
2011.6370     8.79     9.57
2011.6397     8.54     11.60
2011.6452     7.94     12.61
2011.6479     7.77     10.39
2011.6507     8.97     10.31
2011.6534     6.45     10.67
2011.6562     10.69     11.39
2011.6589     8.80     8.10
2011.6616     6.15     9.09
2011.6644     10.06     9.99
2011.6671     6.29     12.32
2011.6699     9.21     10.80
2011.6726     6.64     10.67
2011.6753     10.43     9.40
2011.6781     10.07     14.91
2011.6808     8.37     10.13
2011.6836     11.90     13.25
2011.6863     10.94     12.03
2011.6890     11.99     13.76
2011.6918     9.31     13.41
2011.6945     11.86     10.69
2011.6973     10.75     15.15
2011.7000     10.30     13.16
2011.7027     8.46     11.09
2011.7055     9.25     9.34
2011.7082     9.68     9.40
2011.7110     9.11     12.35
2011.7137     9.56     12.42
2011.7164     10.61     14.59
2011.7192     11.60     11.97
2011.7219     8.08     7.96
2011.7247     10.33     12.14
2011.7274     11.26     10.51
2011.7301     9.59     9.62
2011.7329     8.75     10.13
2011.7356     7.65     12.08
2011.7384     8.13     10.68
2011.7411     8.10     13.47
2011.7438     6.98     7.53
2011.7466     8.92     11.61
2011.7493     10.42     11.02
2011.7521     10.89     12.89
2011.7548     9.19     11.82
2011.7575     8.14     11.58
2011.7603     9.51     10.74
2011.7630     8.31     9.19
2011.7658     7.55     12.29
2011.7685     9.58     12.73
2011.7712     10.14     13.33
2011.7740     7.48     11.49
2011.7795     9.30     10.43
2011.7822     7.98     11.45
2011.7849     7.74     10.96
2011.7877     5.17     12.32
2011.7904     7.33     12.71
2011.7932     8.56     13.10
2011.7959     10.02     13.97
2011.7986     8.53     12.04
2011.8014     8.68     10.53
2011.8041     8.71     10.25
2011.8068     8.30     14.08
2011.8096     13.05     10.61
2011.8123     10.54     12.46
2011.8151     9.28     9.67
2011.8178     5.12     11.69
2011.8205     11.27     12.01
2011.8233     7.81     10.87
2011.8260     10.15     11.40
2011.8288     8.02     9.85
2011.8315     8.38     13.70
2011.8342     9.88     14.46
2011.8370     8.56     13.85
2011.8397     8.74     11.17
2011.8425     9.72     11.80
2011.8452     8.51     11.88
2011.8479     7.27     10.59
2011.8507     9.18     11.67
2011.8534     9.67     11.46
2011.8562     11.03     13.15
2011.8589     9.22     11.40
2011.8616     9.43     11.72
2011.8644     9.53     12.69
2011.8671     8.69     11.28
2011.8699     6.54     11.79
2011.8726     7.56     12.60
2011.8753     7.25     9.68
2011.8781     8.49     11.26
2011.8808     9.54     11.95
2011.8836     7.79     11.00
2011.8863     9.19     12.42
2011.8890     7.85     12.98
2011.8918     7.95     13.65
2011.8945     8.88     13.50
2011.8973     6.77     11.82
2011.9000     7.81     11.91
2011.9027     8.47     11.55
2011.9055     8.59     12.68
2011.9082     9.76     12.28
2011.9110     9.42     12.90
2011.9137     10.73     12.46
2011.9164     8.54     10.27
2011.9192     9.47     11.45
2011.9274     9.17     13.89
2011.9301     9.64     12.04
2011.9329     8.60     12.25
2011.9356     7.89     11.38
2011.9384     9.86     9.84
2011.9411     14.29     10.71
2011.9438     11.82     13.19
2011.9466     10.20     12.93
2011.9493     8.84     10.65
2011.9521     10.83     12.10
2011.9548     9.06     13.21
2011.9575     15.16     12.90
2011.9603     9.81     13.66
2011.9630     9.19     13.02
2011.9658     7.59     12.18
2011.9685     8.71     10.70
2011.9712     5.88     13.93
2011.9740     9.18     13.01
2011.9767     11.11     14.40
2011.9795     7.24     15.47
2011.9822     8.83     15.99
2011.9849     14.24     16.16
2011.9877     16.04     13.60
2011.9904     10.11     12.42
2011.9932     9.92     12.11
2011.9959     9.33     12.54
2011.9986     9.31     13.71
2012.0014     5.99     10.01
2012.0041     8.64     20.15
2012.0068     8.97     14.92
2012.0096     10.45     14.32
2012.0123     12.10     15.05
2012.0150     14.20     16.43
2012.0178     13.13     13.05
2012.0205     16.59     15.97
2012.0232     7.29     13.57
2012.0260     7.15     10.35
2012.0287     9.14     13.42
2012.0342     7.15     15.69
2012.0369     8.55     11.32
2012.0396     8.50     11.87
2012.0423     16.05     17.91
2012.0451     10.76     16.50
2012.0478     6.19     12.40
2012.0505     8.20     18.91
2012.0533     0.80     13.87
2012.0560     12.94     15.87
2012.0587     6.60     12.57
2012.0615     14.86     13.54
2012.0642     6.99     10.51
2012.0669     9.60     12.30
