# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2010.9795    163961.22703    0.00757         16.0671    0.0000
2010.9822    163961.22514    0.00755         16.1656    0.0000
2010.9849    163961.22655    0.00759         16.2170    0.0000
2010.9877    163961.22422    0.00772         16.5028    0.0000
2010.9904    163961.22414    0.00782         16.6383    0.0000
2010.9931    163961.22458    0.00748         16.0383    0.0000
2010.9959    163961.22564    0.00760         16.2278    0.0000
2010.9986    163961.22151    0.00804         17.2133    0.0000
2011.0014    163961.22383    0.00703         14.7083    0.0000
2011.0041    163961.22583    0.00847         18.2650    0.0000
2011.0096    163961.22468    0.00640         13.3301    0.0000
2011.0123    163961.22489    0.00686         14.3291    0.0000
2011.0151    163961.22943    0.00692         14.4772    0.0000
2011.0178    163961.23045    0.00691         14.3914    0.0000
2011.0205    163961.22893    0.00691         14.3662    0.0000
2011.0233    163961.22592    0.00680         14.1844    0.0000
2011.0534    163961.22441    0.00646         13.4122    0.0000
2011.0562    163961.22796    0.00665         13.8055    0.0000
2011.0589    163961.22720    0.00721         14.9282    0.0000
2011.0616    163961.22623    0.00687         14.1583    0.0000
2011.0644    163961.22451    0.00706         14.6284    0.0000
2011.0671    163961.22323    0.00690         14.3266    0.0000
2011.0699    163961.22743    0.00701         14.4674    0.0000
2011.0726    163961.22914    0.00681         14.1554    0.0000
2011.0753    163961.22480    0.00715         14.9484    0.0000
2011.0781    163961.22505    0.00687         14.4385    0.0000
2011.0808    163961.22658    0.00679         14.0324    0.0000
2011.0836    163961.22490    0.00683         14.2037    0.0000
2011.0863    163961.22441    0.00691         14.4271    0.0000
2011.0890    163961.22681    0.00657         13.7525    0.0000
2011.0918    163961.22563    0.00673         13.9720    0.0000
2011.0945    163961.22395    0.00753         15.6805    0.0000
2011.0973    163961.22421    0.00691         14.3510    0.0000
2011.1000    163961.22719    0.00676         14.0611    0.0000
2011.1027    163961.22380    0.00681         14.0008    0.0000
2011.1055    163961.22808    0.00719         14.7170    0.0000
2011.1082    163961.22714    0.00753         15.6425    0.0000
2011.1110    163961.22405    0.00740         15.2017    0.0000
2011.1137    163961.22840    0.00716         14.7516    0.0000
2011.1164    163961.22352    0.00718         14.8015    0.0000
2011.1192    163961.22377    0.00724         15.0807    0.0000
2011.1219    163961.22749    0.00746         15.2629    0.0000
2011.1247    163961.24145    0.00796         16.5410    0.0000
2011.1274    163961.23229    0.00811         16.8833    0.0000
2011.1301    163961.22808    0.00798         16.5305    0.0000
2011.1329    163961.23162    0.00764         15.8880    0.0000
2011.1356    163961.22874    0.00741         15.3468    0.0000
2011.1384    163961.22588    0.00712         14.7322    0.0000
2011.1411    163961.22481    0.00725         14.8928    0.0000
2011.1438    163961.22645    0.00729         15.0086    0.0000
2011.1466    163961.22584    0.00731         15.0446    0.0000
2011.1493    163961.22734    0.00724         14.7633    0.0000
2011.1521    163961.22732    0.00742         15.0355    0.0000
2011.1548    163961.22629    0.01127         24.4134    0.0000
2011.1575    163961.23443    0.00749         15.4451    0.0000
2011.1603    163961.22614    0.00678         13.9486    0.0000
2011.1630    163961.22231    0.00912         18.8856    0.0000
2011.1658    163961.22700    0.00763         15.0951    0.0000
2011.1685    163961.23774    0.00700         14.5036    0.0000
2011.1712    163961.23310    0.00762         15.7819    0.0000
2011.1740    163961.23272    0.00857         17.5988    0.0000
2011.1767    163961.22574    0.00756         15.3703    0.0000
2011.1795    163961.22323    0.00861         17.3521    0.0000
2011.1822    163961.23018    0.00774         15.6388    0.0000
2011.1849    163961.22453    0.00809         16.6579    0.0000
2011.1877    163961.22624    0.00728         14.9234    0.0000
2011.1931    163961.22551    0.00799         16.7178    0.0000
2011.1959    163961.22609    0.00852         17.4435    0.0000
2011.1986    163961.21785    0.01249         22.6290    0.0000
2011.2014    163961.22653    0.00770         15.9226    0.0000
2011.2041    163961.22632    0.00800         16.4986    0.0000
2011.2068    163961.22675    0.00804         16.4863    0.0000
2011.2096    163961.22080    0.00763         15.9566    0.0000
2011.2123    163961.22829    0.00817         16.9059    0.0000
2011.2151    163961.22902    0.00883         18.1614    0.0000
2011.2178    163961.22595    0.00844         17.2974    0.0000
2011.2205    163961.23648    0.00782         16.1900    0.0000
2011.2233    163961.23345    0.00820         17.1055    0.0000
2011.2260    163961.23016    0.00826         16.9812    0.0000
2011.2288    163961.22764    0.00792         16.3729    0.0000
2011.2315    163961.22749    0.00807         17.0389    0.0000
2011.2342    163961.22492    0.00726         15.0156    0.0000
2011.2370    163961.22443    0.00760         16.0030    0.0000
2011.2397    163961.22578    0.00734         14.9235    0.0000
2011.2425    163961.22449    0.00809         16.5836    0.0000
2011.2452    163961.22530    0.00800         16.3379    0.0000
2011.2479    163961.22396    0.00881         17.9516    0.0000
2011.2507    163961.22394    0.00787         16.3906    0.0000
2011.2534    163961.22055    0.00788         16.3557    0.0000
2011.2562    163961.22303    0.00775         16.0108    0.0000
2011.2589    163961.23531    0.00822         16.9650    0.0000
2011.2616    163961.23230    0.00824         16.5850    0.0000
2011.2644    163961.22800    0.00803         16.6500    0.0000
2011.2671    163961.22087    0.00873         16.3195    0.0000
2011.2699    163961.22982    0.00793         16.2578    0.0000
2011.2726    163961.22316    0.00795         16.4604    0.0000
2011.2753    163961.22243    0.00872         17.8919    0.0000
2011.2781    163961.22303    0.00801         16.7224    0.0000
2011.2808    163961.22088    0.00773         15.8126    0.0000
2011.2836    163961.22759    0.00798         16.3655    0.0000
2011.2863    163961.22516    0.00842         17.3922    0.0000
2011.2890    163961.22451    0.00797         16.4935    0.0000
2011.2918    163961.22721    0.00856         17.6589    0.0000
2011.2945    163961.22588    0.00792         16.3986    0.0000
2011.2973    163961.22552    0.00787         16.3191    0.0000
2011.3000    163961.22324    0.00842         17.3218    0.0000
2011.3027    163961.21969    0.00864         17.8183    0.0000
2011.3055    163961.22479    0.00754         15.4696    0.0000
2011.3082    163961.22576    0.00769         15.7395    0.0000
