# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2011.5411    247799.09703    0.00529         12.9427    0.0000
2011.5438    247799.10275    0.00498         11.8737    0.0000
2011.5466    247799.10014    0.00535         12.9725    0.0000
2011.5493    247799.10308    0.00561         13.7497    0.0000
2011.5521    247799.10177    0.00852         21.1522    0.0000
2011.5548    247799.10071    0.00497         11.5974    0.0000
2011.5575    247799.10033    0.00517         11.9697    0.0000
2011.5603    247799.10033    0.00441         10.3735    0.0000
2011.5630    247799.10163    0.00517         12.5550    0.0000
2011.6096    247799.10136    0.00555         13.0974    0.0000
2011.6123    247799.09898    0.00549         12.8805    0.0000
2011.6151    247799.09980    0.00601         14.3023    0.0000
2011.6178    247799.09693    0.01223         23.7494    0.0000
2011.6205    247799.09926    0.00580         14.3194    0.0000
2011.6260    247799.09987    0.00555         13.9223    0.0000
2011.6288    247799.09731    0.00703         17.7038    0.0000
2011.6315    247799.10214    0.00584         14.3035    0.0000
2011.6342    247799.09925    0.00591         14.8424    0.0000
2011.6370    247799.09920    0.00505         11.6871    0.0000
2011.6397    247799.10057    0.00509         11.9500    0.0000
2011.6425    247799.09852    0.00491         12.0144    0.0000
2011.6452    247799.10000    0.00478         11.3685    0.0000
2011.6479    247799.09929    0.00476         11.7257    0.0000
2011.6507    247799.10103    0.00548         13.3743    0.0000
2011.6534    247799.09569    0.00560         13.7375    0.0000
2011.6562    247799.10060    0.00553         13.0803    0.0000
2011.6589    247799.10042    0.00492         11.9137    0.0000
2011.6616    247799.10023    0.00509         12.5838    0.0000
2011.6644    247799.09964    0.00477         11.2805    0.0000
2011.6671    247799.09794    0.00563         13.6980    0.0000
2011.6699    247799.10016    0.00613         15.1218    0.0000
2011.6726    247799.09731    0.00485         11.5083    0.0000
2011.6753    247799.09884    0.00553         13.0529    0.0000
2011.6781    247799.09814    0.00535         13.0130    0.0000
2011.6808    247799.10049    0.00531         13.1508    0.0000
2011.6836    247799.09857    0.00402         10.0213    0.0000
2011.6863    247799.09906    0.00452         10.7902    0.0000
2011.6890    247799.09904    0.00470         11.0291    0.0000
2011.6918    247799.09783    0.00516         12.1761    0.0000
2011.6945    247799.09877    0.00443         10.6472    0.0000
2011.6973    247799.09980    0.00485         11.0494    0.0000
2011.7027    247799.09942    0.00425         10.0605    0.0000
2011.7055    247799.09730    0.00504         12.1100    0.0000
2011.7082    247799.09868    0.00441         10.3964    0.0000
2011.7110    247799.09745    0.00520         11.6004    0.0000
2011.7137    247799.09813    0.00461         10.8265    0.0000
2011.7164    247799.09788    0.00445         10.4117    0.0000
2011.7192    247799.09703    0.00474         11.3063    0.0000
2011.7219    247799.09978    0.00476         10.8898    0.0000
2011.7247    247799.09932    0.00421          9.7683    0.0000
2011.7274    247799.09727    0.00445          9.9702    0.0000
2011.7301    247799.09611    0.00446         10.4570    0.0000
2011.7329    247799.09740    0.00432         10.1089    0.0000
2011.7356    247799.09829    0.00481         11.0684    0.0000
2011.7384    247799.09647    0.00426         10.0686    0.0000
2011.7411    247799.09725    0.00426         10.1560    0.0000
2011.7438    247799.09861    0.00466         10.6262    0.0000
2011.7466    247799.09804    0.00452         10.5802    0.0000
2011.7493    247799.09928    0.00473         11.0493    0.0000
2011.7521    247799.09884    0.00441         10.1447    0.0000
2011.7548    247799.09863    0.00430          9.8513    0.0000
2011.7575    247799.09902    0.00416          9.6111    0.0000
2011.7603    247799.09841    0.00443         10.0637    0.0000
2011.7630    247799.09839    0.00405          9.2445    0.0000
2011.7658    247799.09761    0.00413          9.8753    0.0000
2011.7685    247799.09748    0.00454         10.5642    0.0000
2011.7712    247799.09823    0.00429          9.8801    0.0000
2011.7740    247799.09726    0.00422          9.8643    0.0000
2011.7822    247799.09971    0.00471         10.6830    0.0000
2011.7849    247799.09803    0.00430          9.8501    0.0000
2011.7877    247799.09754    0.00447         10.3172    0.0000
2011.7904    247799.09803    0.00391          8.9867    0.0000
2011.7931    247799.09806    0.00443         10.5223    0.0000
2011.7959    247799.09893    0.00432          9.9991    0.0000
2011.7986    247799.09747    0.00385          8.8716    0.0000
2011.8014    247799.09787    0.00394          9.1188    0.0000
2011.8041    247799.09510    0.00413          9.4831    0.0000
2011.8068    247799.09707    0.00416          9.7612    0.0000
2011.8096    247799.09894    0.00370          8.6690    0.0000
2011.8123    247799.09713    0.00393          8.8914    0.0000
2011.8151    247799.09729    0.00386          8.7464    0.0000
2011.8178    247799.09855    0.00393          9.0066    0.0000
2011.8205    247799.09881    0.00384          9.0162    0.0000
2011.8233    247799.09720    0.00383          8.9042    0.0000
2011.8260    247799.09721    0.00417          9.4589    0.0000
2011.8288    247799.09972    0.00518         11.0680    0.0000
2011.8315    247799.09914    0.00459         10.5234    0.0000
2011.8342    247799.09797    0.00387          8.8886    0.0000
2011.8370    247799.09756    0.00412          9.4038    0.0000
2011.8397    247799.09617    0.00539         11.9958    0.0000
2011.8452    247799.09774    0.00408          9.2555    0.0000
2011.8479    247799.09664    0.00395          9.0482    0.0000
2011.8507    247799.09551    0.00377          8.8379    0.0000
2011.8534    247799.09793    0.00394          9.0087    0.0000
2011.8671    247799.09602    0.00363          8.5348    0.0000
2011.8699    247799.09724    0.00382          8.9025    0.0000
2011.8726    247799.09714    0.00369          8.4807    0.0000
2011.8753    247799.09477    0.00482         11.1877    0.0000
2011.8781    247799.09736    0.00379          9.0230    0.0000
2011.8890    247799.09689    0.00364          8.4446    0.0000
2011.8945    247799.09634    0.00381          8.5685    0.0000
2011.8973    247799.09720    0.00384          8.6501    0.0000
2011.9000    247799.09727    0.00381          8.6711    0.0000
2011.9027    247799.09553    0.00351          8.1993    0.0000
2011.9055    247799.09566    0.00369          8.4129    0.0000
2011.9082    247799.09705    0.00376          8.6266    0.0000
2011.9110    247799.09667    0.00356          8.4287    0.0000
2011.9137    247799.09645    0.00388          8.9857    0.0000
2011.9164    247799.09813    0.00358          8.3961    0.0000
2011.9192    247799.09769    0.00352          8.3132    0.0000
2011.9301    247799.09626    0.00431          9.7202    0.0000
2011.9329    247799.09696    0.00365          8.4873    0.0000
2011.9356    247799.09845    0.00384          8.8429    0.0000
2011.9384    247799.09691    0.00358          8.1616    0.0000
2011.9438    247799.09678    0.00353          8.2400    0.0000
