125.4442 43.7907 CHAN
-176.5658 -43.9558 CHAT
-146.6466 60.2375 CHI3
-118.026 34.3334 CHIL
-116.7655 36.7465 CHLO
-117.8277 34.6405 CHMS
-121.665 39.4326 CHO1
-44.9856 -22.6869 CHPI
74.75 43 CHUM
125.4442 43.7907 CHUN
-94.0887 58.7591 CHUR
-122.0084 49.1566 CHWK
-123.9781 45.4865 CHZZ
-116.6674 31.8713 CIC1
-116.6674 31.8713 CICE
-118.9373 34.1096 CIRX
-118.1273 34.1367 CIT1
-117.4794 34.3138 CJMS
-117.7088 34.1099 CLAR
-147.8605 64.8738 CLGO
-97.9607 44.9356 CLK1
-120.386 38.0342 CMBB
-124.3963 40.4418 CME1
-118.4114 34.3532 CMP9
169.8559 -43.6662 CNCL
-121.2785 37.8964 CNDR
-117.6089 33.8576 CNPP
-92.7035 37.5228 CNWM
96.834 -12.1884 COCO
167.0855 -77.5345 CONZ
-112.121 40.6526 COON
-119.8795 34.4149 COPR
-64.47 -31.5284 CORD
-123.3046 44.5855 CORV
-117.2482 32.4154 CORX
-117.8089 35.9823 COSO
-116.3869 33.7325 COTD
-117.573 35.0717 CPBN
-122.2565 46.8401 CPXF
107.23 29.91 CQCS
108.49 30.77 CQWX
108.49 30.77 CQWZ
-116.5693 36.8077 CRAT
-120.7508 35.7916 CRBT
-117.0997 34.0391 CRFP
-118.2724 33.8235 CRHS
-64.5843 17.7569 CRO1
-115.735 33.0698 CRRS
-119.7848 34.0293 CRU1
-119.039 34.1684 CSCI
-118.2567 33.8615 CSDH
-118.5238 34.2535 CSN1
-119.3712 34.4081 CSST
-118.6132 34.5165 CTDM
-116.3704 34.1241 CTMS
-119.6739 34.9426 CUHS
-117.9017 34.082 CVHS
127.3745 36.3994 DAEJ
-118.3974 34.334 DAM1
-118.3969 34.3348 DAM2
-118.3975 34.334 DAM3
110.747 36.462 DANI
131.1327 -12.8437 DARW
77.9726 -68.5773 DAV1
103.1555 34.1477 DBDG
102.92 26.1 DC01
103.03 26.12 DC02
103.05 26.13 DC03
103.13 26.17 DC04
103.18 26.22 DC05
103.32 26.23 DC07
102.97 25.97 DC08
103.02 26 DC09
103.12 26 DC10
103.2 26 DC11
103.25 26.03 DC12
103.35 26.05 DC13
103.4 26.05 DC14
-118.9812 37.7442 DDMN
-123.2442 43.1188 DDSN
-119.0906 38.0515 DECH
72.3702 -7.2697 DGAR
-115.788 33.3898 DHLG
-121.9156 37.8786 DIAB
97.3778 37.3805 DLHA
-94.2899 34.1107 DQUA
35.3921 31.5932 DRAG
-119.625 49.3226 DRAO
-118.3485 34.0239 DSHS
-105.261 39.9914 DSRC
-116.7121 33.7333 DSSC
113.411 40.079 DTSZ
113.585 40.036 DTXZ
-95.8662 50.2588 DUBO
-117.0007 33.7006 DVLE
-117.0536 33.6911 DVLS
-117.0674 33.6577 DVLW
-116.9937 33.6935 DVNE
-117.0661 33.6734 DVNW
-117.8601 34.4134 DVPB
-116.9904 33.6808 DVSE
-117.066 33.6679 DVSW
-122.0802 47.7741 DWH1
99.73 28.22 DX01
100.2 27.8 DX02
100.68 27.45 DX03
100.98 27 DX04
101.27 26.62 DX05
101.48 25.82 DX06
100.67 27.05 DX07
100.27 27.07 DX08
99.72 27.23 DX09
100.4 26.65 DX10
99.77 26.78 DX11
101.13 25.83 DX12
99.2 26.85 DX13
100.42 25.92 DX14
99.92 26.08 DX15
99.67 25.97 DX16
100.2006 40.9837 DXIN
-118.0393 37.7428 DYER
-118.126 33.938 DYHS
-118.329 33.8868 ECCO
-117.4117 33.6477 ECFS
-114.2642 37.9155 ECHO
-148.3185 70.3103 EDOC
-118.8304 34.9462 EDPP
-114.9389 39.3452 EGAN
-109.3833 -27.1482 EISL
34.9206 29.5093 ELAT
-89.8676 16.9161 ELEN
-127.1227 49.8731 ELIZ
-115.8172 40.9147 ELKO
35.7706 33.182 ELRO
-118.2084 34.0297 ELSC
-111.9289 41.2532 EOUT
-66.9921 44.9087 EPRT
-116.9939 33.6748 ESE2
-117.0669 33.6818 ESRW
-117.5256 34.1042 EWPP
-147.4992 64.978 FAIR
113.265 39.167 FANS
-123.0008 37.6972 FARB
-97.3128 40.0769 FBYN
111.782 37.243 FENY
-112.4547 35.3419 FERN
-120.0094 34.733 FGST
119.77 25.5 FJPT
117.99 27.62 FJWY
120.02 26.88 FJXP
-101.978 54.7256 FLIN
-118.8941 34.4099 FMTP
-118.884 34.3563 FMVT
-113.8054 39.3694 FOOT
-38.4256 -3.8774 FORT
-112.4992 36.9883 FRED
-123.9561 46.2049 FTS1
-117.9357 33.6623 FVPK
