# YYYYMMDD	N_correlation	E_correlation	U_correlation
20121130	0.9392363637	0.9965023182	0.9730107855
20121201	0.942013766	0.9985011723	0.983474637
20121202	0.9442668904	0.9988968135	0.9876813616
20121203	0.9501686721	0.9986292468	0.9878901369
20121204	0.9561143183	0.9982260017	0.9874270673
20121205	0.9617858078	0.9973576359	0.9864526165
20121206	0.966254025	0.9962707531	0.9839886242
20121207	0.969147287	0.9942112966	0.9771125992
20121208	0.9695609653	0.9918550451	0.9656493081
20121209	0.9679024559	0.9877288412	0.9509499956
20121210	0.9633995538	0.9839867523	0.9366929021
20121211	0.9574932745	0.9789142993	0.9245456407
20121212	0.9499697578	0.9776360941	0.9160353567
20121213	0.9435744451	0.9770746757	0.9192346777
20121214	0.9387711326	0.977093975	0.9284258871
20121215	0.9381915382	0.9723326618	0.9403504894
20121216	0.9405554251	0.9648129496	0.9544438195
20121217	0.940281989	0.9580515104	0.9658892609
20121218	0.9405796778	0.9396731824	0.9742494175
20121219	0.9433116541	0.9235682487	0.977486461
20121220	0.9457272879	0.9042899871	0.9785471826
20121221	0.9506703115	0.8841289369	0.977886749
20121222	0.9562596689	0.8622348738	0.9767448783
20121223	0.961910189	0.8383082249	0.9750012498
20121224	0.9625115085	0.8138517961	0.9723134874
20121225	0.9593023108	0.7894762689	0.9678587762
20121226	0.9519029973	0.7705723017	0.9598719704
20121227	0.9422284037	0.7611691717	0.946960686
20121228	0.9296236064	0.7681302494	0.9246394508
20121229	0.9131230241	0.7763580118	0.9003005455
20121230	0.8986607339	0.7918173671	0.8595159888
20121231	0.8866060775	0.7735571845	0.8034409343
20130101	0.8886395414	0.7469993709	0.7297876516
20130102	0.8965923001	0.7294352769	0.6387891803
20130103	0.9108162239	0.7259289373	0.5421812343
20130104	0.922683152	0.7267739255	0.4457942023
20130105	0.9318320247	0.7316479248	0.3432343624
20130106	0.9309227164	0.7426942394	0.2439649046
20130107	0.926822115	0.7498316118	0.1651832578
20130108	0.9144791248	0.7574239263	0.1218784711
20130109	0.8964274885	0.7579229467	0.1194300726
20130110	0.8733880918	0.7536395391	0.162414564
20130111	0.8695062034	0.7396983729	0.2445381697
20130112	0.8612129614	0.7180416099	0.3458240706
20130113	0.8649282014	0.6851825339	0.4386355944
20130114	0.8572318631	0.6470649805	0.509768836
20130115	0.8577699197	0.6070899605	0.5599052112
20130116	0.8481288104	0.5719312575	0.585363635
20130117	0.8493648786	0.5375649738	0.6063705976
20130118	0.8465444263	0.4994577171	0.6123475433
20130119	0.8568293044	0.4508831864	0.598066045
20130120	0.8664953778	0.4051815597	0.5597802468
20130121	0.8866732792	0.3755146635	0.5104298696
20130122	0.9046840975	0.3565075263	0.4479240643
20130123	0.9260082047	0.3687851081	0.3693968286
20130124	0.9412588637	0.3963330218	0.2952393695
20130125	0.9539832164	0.4438790483	0.2495274378
20130126	0.9613676088	0.5109506142	0.2281650147
20130127	0.9662421796	0.6000264717	0.2314046047
20130128	0.9684698772	0.702026587	0.2443067029
20130129	0.9641137476	0.8024491511	0.2704508379
20130130	0.9585974936	0.8226550434	0.3040642965
20130131	0.9486554341	0.8018862123	0.3399188379
20130201	0.9383121206	0.767263961	0.3779946016
20130202	0.927029884	0.7257757154	0.4246900885
20130203	0.9154566017	0.6777481387	0.4803356274
20130204	0.8979851028	0.6177697396	0.544538714
20130205	0.8717919172	0.5495642207	0.6085433706
20130206	0.8393194161	0.4746565676	0.6632471736
20130207	0.8158458441	0.3781528617	0.68169773
20130208	0.8076538247	0.2435223095	0.6881278399
20130209	0.8206771052	0.08165881969	0.6880934483
20130210	0.8358968186	-0.08491244295	0.6823153763
20130211	0.8605409093	-0.1922812537	0.6820097501
20130212	0.8775081268	-0.2533215988	0.6916246437
20130213	0.8966946808	-0.257363616	0.7114514348
20130214	0.9086202473	-0.1962618441	0.7449359256
20130215	0.9225196651	-0.04621353887	0.7802120908
20130216	0.9301342013	0.1725971383	0.8127629362
20130217	0.9397051919	0.4081009822	0.8207005829
20130218	0.9441831213	0.5700297727	0.8118733801
20130219	0.9501368536	0.6788034185	0.7945613211
20130220	0.9513849805	0.732850306	0.7730570369
20130221	0.9532739067	0.7473501017	0.7526591639
20130222	0.9501539824	0.6825156784	0.731444507
20130223	0.9463988007	0.6522358294	0.7192669923
20130224	0.9363390635	0.6350301557	0.7077248649
20130225	0.9244444396	0.6343598339	0.7023677731
20130226	0.9045863372	0.6670183912	0.6995044279
20130227	0.8830973092	0.7046280028	0.6986161971
20130228	0.8604467133	0.7371024176	0.6869739668
20130301	0.8464329122	0.7709707326	0.645254134
20130302	0.8489999411	0.800107114	0.5670027717
20130303	0.8594235952	0.8231803033	0.4928030122
20130304	0.8732612715	0.84725055	0.4648607013
20130305	0.8854536256	0.8655586307	0.4818531584
20130306	0.8952788714	0.8834143614	0.5192021731
20130307	0.9001567745	0.8943223031	0.5547669352
20130308	0.8925841703	0.9043720878	0.5867974369
20130309	0.8865362879	0.9112940764	0.6215661161
20130310	0.8812443236	0.9187308246	0.6559565625
20130311	0.8782867187	0.9267669206	0.6886033901
20130312	0.8771554582	0.9339572011	0.7200321547
20130313	0.8894064048	0.9415188615	0.7480407728
20130314	0.9039623004	0.9482279268	0.7675502473
20130315	0.9198316041	0.9516735101	0.7751685552
20130316	0.9325773422	0.9542294762	0.7687278459
20130317	0.9456687159	0.9543940727	0.7492669178
20130318	0.9554771225	0.9533621428	0.7222800838
20130319	0.9652876797	0.9509592173	0.6840528652
20130320	0.9720371584	0.9438425594	0.6349324667
20130321	0.9785723183	0.9297331679	0.5838208819
20130322	0.9838996672	0.911454562	0.5330265358
20130323	0.9854367994	0.9074511088	0.4760814394
20130324	0.9868206612	0.9094696766	0.4117620052
20130325	0.9873824708	0.9197722418	0.3389358235
20130326	0.9877013908	0.9282047087	0.2612795229
20130327	0.9879778861	0.9358918869	0.1866310119
20130328	0.9884743287	0.941566744	0.1286101873
20130329	0.9881549454	0.9470942785	0.1034989433
20130330	0.9879368248	0.9491748722	0.1207766439
20130331	0.9851652591	0.9516727287	0.1820856464
20130401	0.9831470044	0.9514574089	0.2800048062
20130402	0.9788792968	0.9487780765	0.4007596008
20130403	0.9774688493	0.943631151	0.5217391294
20130404	0.9754110092	0.932819038	0.6259076085
20130405	0.9759876916	0.9071358988	0.7086782436
20130406	0.9685466963	0.8387915671	0.7731090487
20130407	0.9694716282	0.6986073103	0.8223149724
20130408	0.9720326178	0.5391715314	0.8597686925
20130409	0.9768116114	0.3810153038	0.8884213047
20130410	0.9805699138	0.2865142448	0.9106389056
20130411	0.9834876658	0.2471707429	0.9280640977
20130412	0.9845257821	0.2390011645	0.9419063615
20130413	0.9841095327	0.215126517	0.9531815009
20130414	0.9796682228	0.1991304957	0.9621682151
20130415	0.9782403423	0.1723189683	0.9674244989
20130416	0.9766954289	0.176896202	0.9718067728
20130417	0.9752965399	0.1991974899	0.9778796693
20130418	0.9738290051	0.2174912915	0.9806511645
20130419	0.9715041983	0.2651335467	0.9827074136
