# YYYYMMDD	N_correlation	E_correlation	U_correlation
20140107	0.2235447243	0.3803717725	0.1706695965
20140108	0.2352053552	0.5279043928	0.02103159344
20140109	0.2655397087	0.5873569416	-0.05275128038
20140110	0.3160754118	0.6130867907	-0.10603641
20140111	0.4211746276	0.6235539643	-0.1322667405
20140112	0.5129549079	0.6193526937	-0.1305715154
20140113	0.5998350932	0.6201430875	-0.08654650546
20140114	0.6661030231	0.6014080683	-0.05418873056
20140115	0.7255210316	0.5672212121	-0.0447697365
20140116	0.7326233101	0.5212320174	-0.05287185593
20140117	0.7735270525	0.464897531	-0.08234150795
20140118	0.8182511161	0.3982687739	-0.07354624686
20140119	0.8395317692	0.3470604436	-0.08538763128
20140120	0.8611522643	0.5358047176	-0.1178284949
20140121	0.869135592	0.3524030667	-0.1642242924
20140122	0.8666271731	0.2490475074	-0.1431528174
20140123	0.8716412748	0.1099641302	-0.2028956109
20140124	0.8793815728	-0.002600866721	-0.2510219557
20140125	0.886457992	-0.1131455517	-0.4758143497
20140126	0.8956977622	-0.178418365	-0.5444754603
20140127	0.9077820258	-0.2552903085	-0.5507653983
20140128	0.9212954637	-0.1658030706	-0.5523872125
20140129	0.9225910422	-0.1806173049	-0.4960850167
20140130	0.9182345421	-0.1972728652	-0.3942652815
20140131	0.8422096035	-0.2180475224	-0.2737924545
20140201	0.8089930133	-0.2796893133	-0.1427794644
20140202	0.7790634204	-0.3058298239	-0.0185927711
20140203	0.7586645011	-0.2958302116	-0.01427531278
20140204	0.7390179965	-0.2121174573	0.01896944147
20140205	0.7560574867	-0.2200631781	0.06341806786
20140206	0.7505168923	-0.2229375102	0.1036509263
20140207	0.7246811007	-0.2013524361	0.1374618862
20140208	0.7082058313	-0.1633368938	0.1637279799
20140209	0.676958055	-0.09694277271	0.200368193
20140210	0.6657452135	-0.06372247794	0.2353544168
20140211	0.5752674608	-0.02170389495	0.2305990073
20140212	0.4581432424	-0.06781291643	0.2278010265
20140213	0.3890698093	-0.1082926294	0.2589815946
20140214	0.3075429866	0.04840132942	0.1028002952
20140215	0.2014805675	0.1119626851	0.1642029575
20140216	0.2098473806	0.104105396	0.1970413364
20140217	0.08720911765	0.07479344104	0.2303437414
20140218	0.09575781511	0.000538313769	0.2650478277
20140219	0.03277842176	-0.07159613781	0.04259321411
20140220	0.01074517597	-0.1627445891	0.05512051471
20140221	-0.002027789853	-0.1927533131	0.06464178243
20140222	-0.02261945966	-0.1962160983	0.06119251983
20140223	-0.03008993349	-0.1793109023	0.06140003719
20140224	-0.05807878786	-0.1502244536	0.05963626295
20140225	-0.09872176927	-0.1084783755	0.02695535297
20140226	-0.1481855949	-0.06054526275	0.02383995796
20140227	-0.2605047274	-0.05088164588	0.02339097182
20140228	-0.3768263328	-0.03350597011	0.05377818924
20140301	-0.4261343384	-0.03184846394	0.09543256005
20140302	-0.4922277055	-0.0508674126	0.1179288715
20140303	-0.5211393774	-0.06022744968	0.1708364499
20140304	-0.4945228378	-0.03819488519	0.2567641867
20140305	-0.4500311766	-0.01557368188	0.3996332756
20140306	-0.3562855818	-0.1112451212	0.5274056263
20140307	0.05344592967	-0.09415450386	0.516782494
20140308	0.1434024442	-0.06533107277	0.5183270119
20140309	0.2156747593	-0.04761424317	0.5003783127
