# YYYYMMDD	N_correlation	E_correlation	U_correlation
20130210	0.9227493045	0.9822856154	0.9894346668
20130211	0.9254380307	0.9828259529	0.9812692384
20130212	0.9305348525	0.982371384	0.969794337
20130213	0.9372311041	0.9797611656	0.9551666275
20130214	0.9447321141	0.9744711091	0.9381960817
20130215	0.9524538215	0.9664280345	0.9204342403
20130216	0.9599626444	0.9556627607	0.9040685558
20130217	0.9667126173	0.9422360181	0.8914210309
20130218	0.9717596788	0.9264357409	0.8840041241
20130219	0.9737318432	0.9091877322	0.881629756
20130220	0.9712844241	0.8926379502	0.8824474584
20130221	0.9639185394	0.8805321547	0.8840193676
20130222	0.9525776033	0.8772836433	0.8843316625
20130223	0.9394676526	0.8849466225	0.8818718626
20130224	0.9272152298	0.9006572345	0.8749930508
20130225	0.9179897736	0.9186061943	0.8610991357
20130226	0.9130526663	0.9343963423	0.8360049947
20130227	0.9127703591	0.9465853074	0.7941092286
20130228	0.916860027	0.9555163703	0.7309119528
20130301	0.9245122265	0.9619967802	0.6492063324
20130302	0.9342501321	0.9666978577	0.5653189414
20130303	0.9439976996	0.97002355	0.5062111603
20130304	0.9517924548	0.9721426063	0.4962867087
20130305	0.9566074898	0.9730454137	0.5434532016
20130306	0.9585000213	0.9725890776	0.6305441005
20130307	0.9581338715	0.9705452222	0.7226624688
20130308	0.9562225685	0.9666879062	0.7934465755
20130309	0.9532204801	0.9609408978	0.8381625959
20130310	0.9492764933	0.9535372257	0.8632564991
20130311	0.9443640454	0.945087959	0.8756926606
20130312	0.9385101123	0.9364974837	0.8800365068
20130313	0.932033461	0.9287781312	0.8788506127
20130314	0.9256531901	0.9228781927	0.8734873206
20130315	0.9203356324	0.9195800424	0.8646392538
20130316	0.916907765	0.9194138781	0.8526839884
20130317	0.9156878733	0.9224521043	0.8379323255
20130318	0.9164074843	0.9278722227	0.8208526795
20130319	0.9184521188	0.9334676583	0.8022994534
20130320	0.9212071466	0.9359426357	0.7837198203
20130321	0.9242930221	0.9328731603	0.7672402817
20130322	0.9276260329	0.9249544269	0.7554643646
20130323	0.9313553987	0.9154519826	0.7508403446
20130324	0.9357470127	0.9073953891	0.7547118122
20130325	0.9410568628	0.9019742671	0.7665780454
20130326	0.9474139037	0.8989094809	0.7842031104
20130327	0.9547301397	0.8973395359	0.8046354133
20130328	0.9626668177	0.8963346004	0.825428725
20130329	0.970686104	0.8950233983	0.8452828513
20130330	0.9781844278	0.8925380797	0.863926961
20130331	0.9846493407	0.8879234108	0.8815965104
20130401	0.9897634926	0.8801293849	0.898530058
20130402	0.9934279578	0.8683332181	0.9147141904
20130403	0.9957359073	0.8531942751	0.9298882824
20130404	0.9969310143	0.8397968936	0.9436955884
20130405	0.9973541753	0.8395748148	0.955845416
20130406	0.9973722	0.8580933512	0.9662021982
20130407	0.9972983314	0.8791066472	0.9747881503
20130408	0.9973286068	0.8943691375	0.9817313975
20130409	0.9975153797	0.9097900924	0.9871986608
20130410	0.9977835104	0.9258469852	0.9913359466
20130411	0.9979747782	0.9404275456	0.99422142
20130412	0.9978926927	0.9522934074	0.9958208156
20130413	0.9973223058	0.9610557032	0.9959268117
20130414	0.9960155571	0.9666776181	0.9940559633
20130415	0.9936476644	0.9692124219	0.9892697771
20130416	0.9897525474	0.9687261038	0.9798959809
20130417	0.9836367828	0.9653216363	0.9632153175
20130418	0.9742609294	0.9592238472	0.9355032723
