#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.9959     0.39     2.22     2.9439     4.4835
2010.9986     2.91     10.70     2.8670     4.2968
2011.0041     1.62     -0.05     3.1567     4.7613
2011.0068     1.01     3.31     2.7279     4.1162
2011.0096     1.89     6.97     2.5905     4.0013
2011.0123     2.75     6.07     2.7857     4.1104
2011.0151     0.38     3.87     2.5130     3.8226
2011.0178     0.01     1.18     2.8830     4.4641
2011.0205     1.45     9.75     3.0895     4.6663
2011.0233     1.15     7.62     3.1531     4.7543
2011.0534     1.32     6.61     2.5936     4.0037
2011.0562     -0.92     7.62     2.3719     3.6338
2011.0589     2.15     11.79     2.7265     4.1096
2011.0616     0.97     7.30     2.6536     4.0099
2011.0644     -0.88     7.20     2.5208     3.8351
2011.0671     0.14     8.20     2.5937     4.0023
2011.0699     2.01     5.38     2.6022     4.0926
2011.0726     -2.73     0.87     2.7309     4.1885
2011.0753     -0.55     4.36     2.8800     4.4650
2011.0781     2.35     6.25     2.6700     4.1827
2011.0808     1.41     10.08     2.6686     4.1025
2011.0836     2.53     7.73     2.6454     3.9218
2011.0863     0.52     6.99     2.7924     4.1168
2011.0890     0.63     2.81     2.5043     3.7318
2011.0918     1.64     2.98     2.7264     4.1111
2011.0945     0.11     5.82     2.5777     3.8298
2011.0973     2.10     4.18     2.5933     4.0010
2011.1000     0.88     5.33     2.6771     4.1927
2011.1027     -0.24     6.52     2.6113     4.1833
2011.1055     1.21     8.31     2.5984     4.0850
2011.1082     1.57     9.43     2.6073     4.1731
2011.1110     -0.57     5.01     2.8104     4.3748
2011.1137     -0.05     0.87     2.6967     4.4536
2011.1164     -1.71     2.93     2.9832     4.8248
2011.1192     -1.60     4.25     2.7432     4.2826
2011.1219     -2.45     6.42     2.6962     4.4481
2011.1247     1.02     4.32     2.7426     4.2769
2011.1274     -2.12     9.83     2.9680     4.7345
2011.1301     1.46     -6.62     3.1006     4.8377
2011.1329     -1.44     7.18     3.1894     5.1042
2011.1356     0.47     8.41     2.9595     4.6443
2011.1384     0.70     3.76     2.8272     4.5426
2011.1411     1.90     11.19     2.6195     4.2659
2011.1438     -3.21     0.57     2.9975     4.8555
2011.1466     0.86     2.41     2.9859     4.9082
2011.1493     2.78     6.93     2.7649     4.5350
2011.1521     0.87     8.76     3.1257     5.0973
2011.1548     -3.24     0.01     3.1257     5.0930
2011.1575     3.47     11.05     2.8275     4.5460
2011.1603     3.68     5.63     2.9929     4.9211
2011.1630     2.77     2.14     3.7129     6.0488
2011.1658     0.44     11.55     3.7133     6.6515
2011.1685     -0.77     5.92     3.6290     5.8522
2011.1712     -1.49     4.23     3.2663     5.2832
2011.1740     -2.92     -4.30     3.3921     5.8991
2011.1767     -1.49     3.06     3.2158     5.3604
