#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.2534     0.64     4.83     4.4253     5.1586
2011.2562     3.17     14.13     4.2850     5.0687
2011.2589     15.35     12.30     4.5202     5.2924
2011.2616     12.51     10.02     4.8241     5.4970
2011.2644     8.19     17.85     4.5630     5.3167
2011.2671     0.93     5.95     5.9079     6.1068
2011.2699     9.89     16.68     4.4533     5.1744
2011.2726     3.34     8.18     4.3746     5.1534
2011.2753     2.50     9.59     4.9404     5.7145
2011.2781     3.22     8.67     4.3359     5.1316
2011.2808     0.95     8.49     4.3164     5.1219
2011.2836     7.75     7.69     4.4698     5.1832
2011.2863     5.29     7.81     4.6568     5.4895
2011.2890     4.67     5.83     4.3596     5.1449
2011.2918     7.28     7.47     4.6787     5.5119
2011.2945     5.95     9.82     4.2841     5.1300
2011.2973     5.67     8.56     4.2471     5.1101
2011.3000     3.38     6.87     4.6526     5.4977
2011.3027     -0.18     8.18     4.7085     5.6133
2011.3055     4.85     12.21     4.1790     4.9503
2011.3082     5.85     8.85     4.3026     5.0725
2011.3110     4.46     11.15     4.5128     5.3244
2011.3137     4.35     10.92     4.5423     5.2456
2011.3164     5.50     9.75     4.7444     5.5720
2011.3192     6.86     7.13     5.6445     6.3435
2011.3219     5.74     9.36     4.0232     4.8312
2011.3247     3.95     10.00     4.3255     5.0907
2011.3274     6.82     10.52     4.2587     5.0492
2011.3301     1.97     5.59     4.7952     5.6133
2011.3329     4.90     9.28     4.8541     5.6457
2011.3356     6.62     6.05     5.4425     6.3554
2011.3384     5.28     7.95     4.6578     5.4413
2011.3411     4.66     6.41     4.9001     5.7348
2011.3438     5.37     11.28     4.2441     5.0467
2011.3466     4.82     7.28     4.7581     5.6574
2011.3493     4.11     7.30     4.8607     5.7306
2011.3521     5.03     5.67     4.9930     5.8186
2011.3548     5.89     7.99     4.5014     5.2821
2011.3603     9.16     11.79     5.0524     5.8903
2011.3630     9.72     10.91     5.2372     6.2444
2011.3658     6.59     8.40     4.1563     5.0357
2011.3685     6.91     6.43     4.5232     5.4524
2011.3712     7.21     9.79     4.6758     5.5706
2011.3740     5.43     8.21     4.3973     5.2629
2011.3767     7.19     10.07     4.1548     5.0730
2011.3822     7.03     8.75     4.7021     5.4881
2011.3849     3.56     7.01     4.3540     5.2396
2011.3877     6.19     10.16     4.6940     5.5582
2011.3904     4.50     7.03     4.6923     5.6669
2011.3932     4.67     7.61     4.6144     5.5375
2011.3959     8.45     9.00     4.1151     5.0142
2011.4014     5.52     10.37     4.2304     5.1125
2011.4041     7.23     9.06     4.9042     5.8091
2011.4068     5.85     6.92     4.5768     5.3007
2011.4096     6.37     8.67     4.2520     5.1244
2011.4123     10.11     10.18     4.9568     5.8574
2011.4151     2.93     7.55     4.5342     5.3546
2011.4178     3.86     4.43     4.8680     5.8490
2011.4205     3.52     7.13     4.6536     5.6171
2011.4233     6.23     10.64     4.5801     5.4218
2011.4260     3.65     4.26     4.6364     5.5497
2011.4288     5.14     8.58     4.7305     5.6762
2011.4315     5.52     3.68     4.6679     5.5915
2011.4342     5.58     7.74     4.4202     5.2931
2011.4370     8.29     9.17     4.2557     5.1263
2011.4397     8.49     9.03     4.2951     5.1677
2011.4425     7.79     12.92     4.4589     5.4416
2011.4452     7.00     5.91     4.5207     5.4882
2011.4479     7.70     5.72     4.4470     5.4749
2011.4507     7.17     8.12     4.2583     5.2240
2011.4534     6.79     7.67     4.2686     5.1332
2011.4562     7.33     9.44     4.5729     5.5160
2011.4589     6.06     12.14     4.2726     5.2148
2011.4616     8.03     9.70     4.0292     4.9466
2011.4644     7.52     9.29     4.7925     5.8299
2011.4671     4.97     6.81     5.3476     6.4444
2011.4699     7.15     10.04     4.9066     5.8517
2011.4726     5.67     8.26     4.4080     5.3063
2011.4753     8.31     8.89     4.1004     5.0689
2011.4781     7.05     13.23     4.9501     5.9043
2011.4808     3.81     11.82     4.5718     5.5152
2011.4836     6.06     10.36     4.1251     5.0198
2011.4863     7.65     9.55     4.3983     5.3244
2011.4890     6.84     7.41     4.0483     4.8954
2011.4918     5.92     7.13     4.3413     5.1927
2011.4945     8.42     7.34     4.3881     5.3176
2011.4973     10.39     9.07     4.2090     5.0219
2011.5000     6.02     8.54     4.1605     5.0388
2011.5027     7.75     8.00     4.2282     5.1916
2011.5055     8.59     10.45     3.9683     4.7943
2011.5082     6.00     7.63     4.0305     4.9471
2011.5110     5.57     10.85     4.2764     5.1428
2011.5137     7.03     6.98     4.8025     5.7548
2011.5192     7.62     11.90     4.3487     5.2749
2011.5247     9.51     8.22     4.3282     5.2441
2011.5301     8.41     10.16     4.5920     5.5433
2011.5329     6.18     9.42     4.7732     5.9411
2011.5356     5.14     12.15     3.8501     4.6418
2011.5384     7.42     11.60     4.0013     4.8553
2011.5411     9.47     9.23     4.1943     5.1141
2011.5438     7.23     9.66     4.3299     5.2450
2011.5466     6.98     12.73     4.5347     5.5391
2011.5493     8.95     12.07     4.7688     5.7569
2011.5521     5.29     9.15     5.8501     7.0493
2011.5548     6.76     8.24     4.9457     5.8582
2011.5575     6.43     7.08     5.6581     6.7962
2011.5603     7.89     10.33     4.3598     5.3664
2011.5630     8.83     10.79     4.4235     5.2401
2011.5658     8.40     8.37     4.4941     5.3520
2011.5685     6.48     7.87     4.5691     5.4723
2011.5712     8.51     10.98     4.4292     5.2583
2011.5740     6.69     11.75     4.8315     5.7968
2011.5767     5.14     5.46     6.2782     7.7333
2011.5795     6.89     9.68     4.4930     5.4117
2011.5822     9.10     10.27     4.0734     4.9306
2011.5849     8.76     14.15     4.2917     5.0858
2011.5877     7.68     11.21     4.6730     5.6066
2011.5904     8.70     12.47     4.2833     5.1616
2011.5932     8.39     9.84     4.4162     5.2510
2011.5959     8.35     8.03     4.4428     5.3050
2011.6014     9.18     9.88     4.2952     5.1679
2011.6041     9.41     13.19     4.4520     5.4273
2011.6068     9.48     13.99     4.9498     6.0122
2011.6096     7.81     16.81     5.1300     6.2466
2011.6123     7.29     16.39     5.1194     6.1260
2011.6151     8.05     10.02     4.6723     5.6066
2011.6178     9.78     10.96     9.3254     10.0637
2011.6205     9.33     11.94     4.4623     5.3956
2011.6233     8.22     16.40     4.5110     5.4006
2011.6260     9.41     14.53     4.5085     5.4677
2011.6288     8.21     13.86     4.6490     5.5341
2011.6315     5.42     10.14     5.5900     6.5939
2011.6342     9.52     12.98     4.2685     5.1718
2011.6370     8.79     9.57     4.3458     5.2603
2011.6397     8.54     11.60     4.3863     5.2350
2011.6452     7.94     12.61     4.6262     5.5750
2011.6479     7.77     10.39     3.9655     4.8005
2011.6507     8.97     10.31     4.3361     5.2299
2011.6534     6.45     10.67     4.3651     5.2835
2011.6562     10.69     11.39     4.8098     5.7603
2011.6589     8.80     8.10     5.0682     6.0008
2011.6616     6.15     9.09     4.9093     5.8955
2011.6644     10.06     9.99     5.3594     6.4151
2011.6671     6.29     12.32     5.5407     6.5672
2011.6699     9.21     10.80     4.5757     5.5169
2011.6726     6.64     10.67     5.0901     6.1256
2011.6753     10.43     9.40     4.9931     5.8188
2011.6781     10.07     14.91     4.5875     5.6005
2011.6808     8.37     10.13     4.3851     5.2810
2011.6836     11.90     13.25     4.2726     5.2148
2011.6863     10.94     12.03     4.6480     5.5729
2011.6890     11.99     13.76     4.5103     5.4006
2011.6918     9.31     13.41     4.4080     5.3456
2011.6945     11.86     10.69     4.4893     5.4489
2011.6973     10.75     15.15     4.8796     5.8378
2011.7000     10.30     13.16     4.6555     5.6581
2011.7027     8.46     11.09     4.2109     5.1031
2011.7055     9.25     9.34     4.2111     5.1537
2011.7082     9.68     9.40     4.2167     5.0678
2011.7110     9.11     12.35     4.5775     5.3606
2011.7137     9.56     12.42     4.4981     5.3169
2011.7164     10.61     14.59     4.3373     5.2921
2011.7192     11.60     11.97     4.2551     5.1260
2011.7219     8.08     7.96     4.5310     5.4322
2011.7247     10.33     12.14     4.4133     5.2710
2011.7274     11.26     10.51     4.3873     5.2361
2011.7301     9.59     9.62     4.2988     5.1358
2011.7329     8.75     10.13     4.5325     5.3142
2011.7356     7.65     12.08     4.6715     5.5272
2011.7384     8.13     10.68     4.2298     5.1122
2011.7411     8.10     13.47     4.4688     5.4187
2011.7438     6.98     7.53     4.6315     5.4754
2011.7466     8.92     11.61     4.2145     5.0668
2011.7493     10.42     11.02     4.9440     5.8371
2011.7521     10.89     12.89     4.1145     5.0138
2011.7548     9.19     11.82     4.1024     4.9713
2011.7575     8.14     11.58     4.0365     4.8743
2011.7603     9.51     10.74     4.4312     5.2712
2011.7630     8.31     9.19     4.8451     5.7227
2011.7658     7.55     12.29     4.6400     5.6125
2011.7685     9.58     12.73     4.5207     5.4505
2011.7712     10.14     13.33     4.6145     5.5377
2011.7740     7.48     11.49     4.3124     5.2079
2011.7795     9.30     10.43     4.5756     5.5173
2011.7822     7.98     11.45     4.5489     5.5201
2011.7849     7.74     10.96     4.4915     5.4112
2011.7877     5.17     12.32     4.6705     5.6052
2011.7904     7.33     12.71     4.5588     5.5081
2011.7932     8.56     13.10     4.3171     5.3199
2011.7959     10.02     13.97     4.1152     5.0143
2011.7986     8.53     12.04     4.0727     4.9304
2011.8014     8.68     10.53     4.1619     5.0025
2011.8041     8.71     10.25     4.2564     5.0894
2011.8068     8.30     14.08     4.6015     5.5308
2011.8096     13.05     10.61     4.5377     5.5586
2011.8123     10.54     12.46     4.0608     4.9490
2011.8151     9.28     9.67     4.2136     5.1040
2011.8178     5.12     11.69     4.6177     5.5393
2011.8205     11.27     12.01     4.1399     5.0894
2011.8233     7.81     10.87     4.0873     5.0260
2011.8260     10.15     11.40     4.5757     5.5169
2011.8288     8.02     9.85     4.0726     4.9303
2011.8315     8.38     13.70     4.1991     5.0591
2011.8342     9.88     14.46     4.3238     5.2487
2011.8370     8.56     13.85     4.7511     5.6282
2011.8397     8.74     11.17     4.2304     5.1125
2011.8425     9.72     11.80     3.9620     4.7987
2011.8452     8.51     11.88     3.8932     4.7364
2011.8479     7.27     10.59     4.7311     5.6377
2011.8507     9.18     11.67     4.3733     5.3483
