#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.0068     -5.49     1.94     2.2608     1.8326
2011.0096     -4.00     2.36     2.3309     1.8921
2011.0123     -6.05     -0.28     2.5454     2.0687
2011.0151     -3.87     0.33     2.3802     1.9154
2011.0178     -5.46     1.10     2.4497     1.9727
2011.0205     -6.33     1.43     2.2602     1.8322
2011.0233     -5.18     2.68     2.3545     1.9282
2011.0260     -6.54     2.29     2.2131     1.8103
2011.0288     -4.70     0.74     2.1484     1.7538
2011.0315     -6.15     2.04     2.1682     1.7378
2011.0342     -5.03     1.76     2.2601     1.8321
2011.0370     -5.41     2.20     2.1916     1.7741
2011.0397     -4.60     1.71     2.2621     1.8331
2011.0425     -6.59     1.28     2.2120     1.8096
2011.0452     -7.32     2.15     2.1905     1.7734
2011.0479     -6.76     2.00     2.3542     1.9278
2011.0507     -5.22     1.47     2.2606     1.8323
2011.0534     -7.01     1.85     2.4997     1.9963
2011.0562     -6.10     1.19     2.2677     1.8358
2011.0589     -5.72     1.88     2.3794     1.9135
2011.0616     -7.07     2.61     2.2893     1.8200
2011.0644     -6.56     2.40     2.3802     1.9141
2011.0671     -6.10     2.01     2.3131     1.8571
2011.0699     -7.75     0.45     2.4722     2.0101
2011.0726     -5.32     1.22     2.4297     1.9374
2011.0753     -6.16     1.94     2.3129     1.8573
2011.0781     -5.99     1.02     2.3086     1.8549
2011.0808     -6.81     4.09     2.3801     1.9139
2011.0836     -6.48     2.04     2.1910     1.7737
2011.0863     -4.74     1.07     3.0977     2.5216
2011.0890     -6.71     2.08     2.2392     1.7964
2011.0918     -6.74     2.30     2.3198     1.8604
2011.0945     -6.14     2.14     2.4491     1.9723
2011.0973     -7.39     2.29     2.2889     1.8199
2011.1000     -7.70     1.66     2.4772     1.9615
2011.1027     -7.00     1.74     2.3355     1.8422
2011.1055     -7.29     1.72     2.4768     1.9597
2011.1082     -7.35     2.06     2.4297     1.9374
2011.1110     -5.84     1.96     2.5479     2.0194
2011.1137     -6.77     2.02     2.3638     1.8815
2011.1164     -6.18     2.78     2.4763     1.9596
2011.1192     -7.20     1.45     2.2896     1.8205
2011.1219     -8.39     2.40     2.5752     2.0073
2011.1247     -6.50     2.47     2.5707     2.0550
2011.1274     -7.13     2.03     2.5728     2.0574
2011.1301     -7.10     1.19     2.6180     2.0789
2011.1329     -6.78     2.43     2.4765     1.9599
2011.1356     -7.38     1.87     2.4059     1.9015
2011.1384     -6.36     3.20     2.3570     1.8779
2011.1411     -8.70     1.55     2.5458     2.0181
2011.1438     -6.41     2.00     2.7886     2.1847
2011.1466     -7.59     0.87     2.4778     1.9605
2011.1493     -7.48     2.76     2.6173     2.0785
2011.1521     -6.33     0.92     2.6253     2.0827
2011.1548     -6.76     0.05     2.9840     2.4142
2011.1575     -6.10     -1.38     2.7587     2.1960
2011.1603     -7.68     1.85     2.5369     1.9905
2011.1630     -5.53     2.07     2.9317     2.2836
2011.1658     -7.68     2.68     3.0382     2.3076
2011.1685     -8.97     1.00     2.6666     2.1006
2011.1712     -9.23     3.22     2.6187     2.0792
2011.1740     -8.10     2.52     2.5458     2.0181
2011.1767     -7.76     3.04     2.6446     2.0657
2011.1795     -6.38     2.39     2.5043     1.9491
2011.1822     -7.65     2.66     2.8567     2.2433
2011.1849     -6.33     2.77     2.8084     2.2186
2011.1877     -8.28     2.63     2.6481     2.0706
2011.1932     -8.35     1.54     2.6658     2.1019
2011.1959     -6.97     0.49     2.7545     2.1711
2011.1986     -6.63     2.13     3.3309     2.5488
2011.2014     -7.32     2.55     2.4336     1.8899
2011.2041     -7.45     1.92     2.8565     2.2417
2011.2068     -7.30     1.82     2.5752     2.0074
2011.2096     -10.17     -4.13     2.7026     2.1519
2011.2123     -6.83     -3.30     2.8989     2.3118
2011.2151     -6.87     2.48     3.0176     2.3938
2011.2178     -7.28     1.81     2.9766     2.3245
2011.2205     -8.52     3.40     2.8401     2.2095
