#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.1575     0.64     -14.70     2.7587     2.1960
2011.1603     -0.92     -11.48     2.5369     1.9905
2011.1630     1.26     -11.27     2.9317     2.2836
2011.1658     -0.87     -10.67     3.0382     2.3076
2011.1685     -2.13     -12.37     2.6666     2.1006
2011.1712     -2.37     -10.16     2.6187     2.0792
2011.1740     -1.22     -10.87     2.5458     2.0181
2011.1767     -0.86     -10.36     2.6446     2.0657
2011.1795     0.55     -11.02     2.5043     1.9491
2011.1822     -0.70     -10.77     2.8567     2.2433
2011.1849     0.65     -10.67     2.8084     2.2186
2011.1877     -1.28     -10.81     2.6481     2.0706
2011.1932     -1.30     -11.92     2.6658     2.1019
2011.1959     0.10     -12.99     2.7545     2.1711
2011.1986     0.46     -11.35     3.3309     2.5488
2011.2014     -0.20     -10.95     2.4336     1.8899
2011.2041     -0.31     -11.60     2.8565     2.2417
2011.2068     -0.14     -11.70     2.5752     2.0074
2011.2096     -2.98     -17.66     2.7026     2.1519
2011.2123     0.38     -16.85     2.8989     2.3118
2011.2151     0.36     -11.07     3.0176     2.3938
2011.2178     -0.03     -11.75     2.9766     2.3245
2011.2205     -1.24     -10.18     2.8401     2.2095
2011.2233     -0.55     -11.32     2.5906     2.0899
2011.2260     -1.45     -11.48     2.8171     2.2241
2011.2288     -0.08     -11.40     2.5375     1.9909
2011.2315     -0.18     -11.23     2.9337     2.2556
2011.2342     -1.57     -12.43     2.6173     2.0772
2011.2370     -0.61     -11.79     2.5495     2.0199
2011.2397     -2.18     -11.53     2.4062     1.9014
2011.2425     -1.65     -11.24     2.8709     2.2500
2011.2452     -3.27     -11.27     2.6684     2.1016
2011.2479     0.21     -11.35     2.6685     2.1017
2011.2507     -0.63     -11.76     2.5464     2.0183
2011.2534     -0.08     -11.48     2.7439     2.1661
2011.2562     -2.62     -11.14     2.7847     2.1827
2011.2589     -3.00     -12.86     2.9982     2.3609
2011.2616     -2.91     -12.91     2.8157     2.1731
2011.2644     -1.44     -11.76     3.2641     2.5136
2011.2671     -2.84     -10.69     2.8560     2.2429
2011.2699     -2.76     -11.87     2.7420     2.1622
2011.2726     -0.44     -11.54     2.7855     2.1833
2011.2753     -0.98     -13.47     2.8634     2.2464
2011.2781     -0.11     -12.25     2.8317     2.2550
2011.2808     -1.06     -10.94     2.8997     2.3136
2011.2836     -2.37     -12.92     2.8573     2.2423
2011.2863     -0.66     -12.11     2.9260     2.3003
2011.2890     -1.71     -11.66     2.7852     2.1829
2011.2918     -1.85     -10.96     3.0483     2.3852
2011.2945     -0.85     -11.47     3.2844     2.5971
2011.2973     -1.14     -12.42     3.1653     2.4652
2011.3000     -2.45     -11.51     3.0898     2.4529
2011.3027     -2.66     -12.20     3.0691     2.4185
2011.3055     -3.13     -11.91     2.6686     2.1018
2011.3082     -1.43     -12.02     3.2637     2.5416
2011.3110     -1.95     -11.49     2.9201     2.3270
2011.3137     -1.01     -11.04     3.0001     2.3603
2011.3164     -0.74     -11.62     2.9798     2.3265
2011.3192     -1.64     -10.54     3.1528     2.4358
2011.3219     -1.90     -11.31     2.9572     2.3407
2011.3247     -1.41     -12.85     3.2649     2.5912
2011.3274     -5.36     -12.05     3.6543     2.9041
2011.3301     -1.55     -13.57     3.0695     2.4189
2011.3329     -0.95     -12.19     2.9040     2.2661
2011.3356     -0.89     -12.43     3.0610     2.3433
2011.3384     -2.74     -12.62     3.2574     2.5591
2011.3411     -2.73     -11.09     2.9971     2.3589
2011.3438     -3.35     -12.24     2.9004     2.3127
2011.3466     -3.12     -8.37     3.2079     2.5852
2011.3493     -2.44     -16.91     3.3984     2.6762
2011.3521     -3.33     -12.35     3.6533     2.9038
2011.3548     -2.38     -13.03     3.2278     2.5468
2011.3575     -2.64     -10.50     3.0405     2.4309
2011.3603     -2.28     -11.13     3.0667     2.4174
2011.3630     -0.42     -11.86     3.2290     2.5713
2011.3658     -0.63     -11.01     2.7319     2.2078
2011.3685     -2.38     -10.65     3.0470     2.4340
2011.3712     -2.52     -11.69     3.4249     2.7144
2011.3740     -2.15     -11.20     3.0702     2.4268
2011.3767     -2.26     -11.13     2.9979     2.3594
2011.3795     -3.89     -11.77     2.9317     2.3325
2011.3822     0.54     -10.99     3.2788     2.5938
2011.3849     -2.20     -10.64     2.8986     2.3133
2011.3877     -1.92     -10.19     3.0428     2.4306
2011.3904     -2.36     -11.05     3.2779     2.5945
2011.3932     -0.22     -11.64     2.5950     2.0922
2011.3959     -4.11     -10.79     3.1848     2.5485
2011.3986     -2.50     -10.13     3.1135     2.4900
2011.4014     -2.42     -9.66     3.0191     2.3948
2011.4041     -4.38     -10.92     3.3964     2.6754
2011.4068     -1.96     -11.90     3.1544     2.4896
2011.4096     -1.19     -10.82     2.9692     2.3708
2011.4123     -1.93     -11.91     3.3291     2.6278
2011.4151     -1.75     -11.61     3.5202     2.8102
2011.4178     -1.96     -10.65     3.1094     2.4880
2011.4205     -2.63     -9.82     3.1807     2.5468
2011.4233     -1.76     -10.97     3.5284     2.7150
2011.4260     -0.42     -10.76     3.2323     2.5728
2011.4288     -2.79     -10.64     3.1564     2.4898
2011.4315     -3.14     -11.76     3.8284     3.0334
2011.4342     -1.86     -9.97     3.6797     2.9131
2011.4370     -1.65     -13.29     3.1877     2.5001
2011.4397     -1.54     -10.67     3.0174     2.4237
2011.4425     -2.99     -11.43     3.2590     2.6231
2011.4452     0.08     -12.28     3.5860     2.8659
2011.4479     0.51     -11.42     3.4381     2.7742
2011.4507     -1.65     -9.57     3.4721     2.7672
2011.4534     -2.54     -12.52     3.5349     2.8447
2011.4562     -1.22     -9.93     3.3690     2.6883
2011.4589     -1.00     -12.33     3.7246     2.9825
2011.4616     -1.18     -7.99     3.3225     2.6647
2011.4644     -0.76     -11.54     3.3716     2.6933
2011.4671     -0.79     -9.77     3.5981     2.8794
2011.4699     -2.18     -9.94     3.9111     3.1216
2011.4726     -0.83     -11.70     3.7491     2.9701
2011.4753     -1.93     -9.47     3.5277     2.8134
2011.4781     -5.22     -10.42     4.6467     3.7293
2011.4808     -0.54     -11.45     3.2365     2.6053
2011.4836     -0.92     -12.24     2.8309     2.2545
2011.4863     -0.65     -10.76     3.6953     3.0019
2011.4890     -4.11     -11.30     3.0534     2.4368
