#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.1959     -3.45     5.36     2.4336     3.4663
2011.1986     -2.61     6.74     2.9501     4.2080
2011.2014     -2.96     5.73     2.5957     3.7113
2011.2041     -3.63     3.77     2.5330     3.5945
2011.2068     -3.30     4.09     2.6342     3.7513
2011.2096     -3.00     7.61     2.3625     3.3376
2011.2123     -3.10     6.80     2.6343     3.7518
2011.2151     -3.63     5.93     2.5566     3.6729
2011.2178     -3.17     6.68     2.4872     3.5740
2011.2205     -3.63     5.06     2.5656     3.6568
2011.2233     -2.90     4.75     2.4928     3.5526
2011.2260     -3.31     5.60     2.4575     3.5177
2011.2288     -3.32     4.71     2.3924     3.3947
2011.2315     -3.70     4.08     2.4923     3.5514
2011.2342     -2.95     5.96     2.6974     3.8707
2011.2370     -3.20     2.53     2.4542     3.5139
2011.2397     -2.88     6.08     2.5924     3.7401
2011.2425     -2.66     3.42     2.4981     3.5578
2011.2452     -4.12     6.63     2.7017     3.8745
2011.2479     -3.34     5.10     2.5953     3.7105
2011.2507     -3.33     4.91     2.5562     3.6722
2011.2534     -3.11     4.84     2.6292     3.7768
2011.2562     -3.09     3.35     2.6965     3.8690
2011.2589     -4.27     6.83     2.8372     4.0670
2011.2616     -2.65     5.59     2.6279     3.7717
2011.2644     -3.15     4.33     2.4550     3.5132
2011.2671     -3.00     4.16     2.5957     3.7134
2011.2699     -2.17     5.73     2.7018     3.8751
2011.2726     -3.01     5.65     2.6688     3.8123
2011.2753     -3.27     3.92     2.5646     3.6522
2011.2781     -3.90     2.24     2.9321     4.1759
2011.2808     -3.03     6.92     2.9926     4.2509
2011.2836     -2.62     4.77     2.5622     3.6787
2011.2863     -3.30     5.60     2.5657     3.6540
2011.2890     -2.79     6.44     2.7057     3.8510
2011.2918     -2.32     5.71     2.7474     3.8927
2011.2945     -0.68     4.50     2.7006     3.8728
2011.2973     -2.57     3.12     3.3490     4.7600
2011.3000     -2.16     4.24     2.6343     3.7518
2011.3027     -2.53     6.00     3.7254     5.2525
2011.3055     -2.03     3.16     2.5953     3.7105
2011.3082     -3.28     6.51     2.7033     3.8820
2011.3110     -3.13     6.53     2.6028     3.7181
2011.3137     -2.07     3.95     2.7359     3.9102
2011.3164     -3.96     7.12     2.7688     3.9702
2011.3192     -3.03     3.67     2.8063     4.0084
2011.3219     -2.13     5.15     2.9567     4.1908
2011.3247     -2.04     6.16     2.8099     4.0159
2011.3274     -1.70     3.69     2.7359     3.9080
2011.3301     -3.28     4.12     2.8060     4.0081
2011.3329     -2.42     5.32     2.9101     4.1714
2011.3356     -1.75     6.21     2.9090     4.1692
2011.3384     -1.68     4.81     2.8062     4.0084
2011.3411     -2.07     4.39     2.9508     4.2095
2011.3438     -0.71     4.01     2.9563     4.1874
2011.3466     -1.94     3.29     3.0983     4.3876
2011.3493     -1.14     5.69     2.9095     4.1678
2011.3521     -2.01     4.48     2.8779     4.1079
2011.3548     -2.97     6.79     2.8463     4.0485
2011.3575     -2.46     3.73     2.5329     3.5919
2011.3603     -2.28     6.85     2.8917     4.1351
2011.3630     -1.55     5.45     2.7056     3.8505
2011.3658     -1.60     5.81     2.6737     3.7926
2011.3685     -1.73     6.02     2.8156     3.9926
2011.3712     -1.99     6.68     3.0194     4.2925
2011.3740     -2.60     5.24     2.8448     4.0478
2011.3767     -1.38     6.17     2.8855     4.0889
2011.3795     -1.39     8.74     2.9205     4.1522
2011.3822     -3.14     3.48     2.7057     3.8510
2011.3849     -2.26     5.59     2.7440     3.8904
2011.3877     -2.73     3.74     2.8468     4.0493
2011.3904     -2.80     4.92     3.0264     4.2876
2011.3932     -2.69     4.02     2.7066     3.8547
2011.3959     -2.54     4.04     3.0261     4.2873
2011.4041     -0.47     3.56     3.3367     4.7722
2011.4068     -2.30     7.24     2.8058     4.0076
2011.4096     -2.36     4.56     3.0206     4.3097
2011.4123     -2.53     5.14     2.9099     4.1685
2011.4151     -3.45     6.22     3.0642     4.3862
2011.4178     -0.81     4.73     3.0922     4.4078
2011.4205     -2.16     7.27     2.9271     4.1320
2011.4233     -1.31     4.99     3.0885     4.4054
2011.4260     -2.83     4.21     2.9503     4.2086
2011.4288     -1.21     4.28     2.9625     4.1938
2011.4315     -2.21     5.88     3.4414     4.9028
2011.4342     -2.87     6.31     3.0300     4.2900
2011.4370     -0.45     5.10     3.1924     4.5687
2011.4397     -4.59     5.65     2.9247     4.1297
2011.4425     -3.11     2.23     3.3420     4.7439
2011.4534     0.68     3.93     3.4945     4.9337
2011.4562     -1.32     4.32     3.2074     4.5604
2011.4589     -3.18     4.51     3.0627     4.3573
2011.4616     -0.14     3.67     2.7448     3.8918
2011.4644     -2.26     3.20     2.9584     4.1918
2011.4671     -1.24     4.02     3.3703     4.8019
2011.4699     -1.17     6.73     3.4337     4.9215
2011.4726     -1.14     4.83     2.9968     4.2314
2011.4753     -2.06     6.14     3.2036     4.5555
2011.4781     -1.81     0.70     2.8875     4.0933
2011.4808     -0.76     7.18     2.9963     4.2581
2011.4836     -2.10     7.36     2.9629     4.1942
2011.4863     -3.06     5.57     3.0374     4.2713
2011.4890     -1.65     4.44     3.3712     4.7651
2011.4918     -2.24     1.95     3.2823     4.6305
2011.4973     -1.88     4.69     2.8599     4.0416
2011.5000     -2.92     5.15     2.9562     4.1873
2011.5027     -2.31     4.86     2.9031     4.0874
2011.5055     -1.16     3.92     2.7139     3.8326
2011.5082     -1.91     4.65     2.9024     4.0862
2011.5110     -2.35     5.44     3.7347     5.2861
2011.5137     -0.68     1.91     3.2489     4.5987
2011.5164     -2.26     1.25     2.8758     4.0272
2011.5219     -3.37     4.84     3.1819     4.4777
2011.5274     -2.20     5.25     3.2516     4.5712
2011.5301     -3.24     6.35     3.1387     4.4318
2011.5329     -1.17     4.78     3.3397     4.6605
2011.5356     -1.51     5.74     2.9990     4.2307
2011.5384     0.46     4.43     3.2799     4.6307
2011.5411     -2.21     4.37     3.2775     4.6529
2011.5438     -0.13     5.20     3.0677     4.3296
2011.5466     -1.90     4.01     3.0689     4.3340
2011.5493     -1.09     2.97     3.6273     5.1072
2011.5521     -3.87     3.80     4.2595     6.0846
2011.5548     -2.40     5.14     3.3403     4.7447
2011.5575     -0.43     2.97     3.7043     5.2226
2011.5603     0.10     5.57     3.5918     5.0844
2011.5630     -2.30     3.80     3.4104     4.8415
2011.5658     -2.57     4.64     3.6239     5.1449
2011.5685     -0.13     3.24     3.9920     5.6346
2011.5740     -1.87     4.92     3.3583     4.7437
2011.5767     -0.48     5.27     3.8373     5.3351
