#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.5740     5.59     1.04     2.7242     4.4730
2011.5767     -0.13     2.24     3.3485     5.6514
2011.5795     5.47     -7.32     3.4836     5.5741
2011.5822     5.70     -2.72     3.1717     4.8178
2011.5849     2.80     -3.17     3.0807     4.6488
2011.5877     4.40     2.29     2.9023     4.6425
2011.5904     4.92     0.13     2.7690     4.4741
2011.5932     5.88     -0.41     3.1325     4.8165
2011.5959     6.24     -1.66     3.2660     5.1564
2011.5986     7.81     0.96     3.1739     5.2318
2011.6014     6.55     0.11     2.9920     4.8122
2011.6041     7.57     -5.34     2.8156     4.6405
2011.6068     4.39     2.67     3.7645     6.1694
2011.6096     2.28     4.29     3.6633     6.0745
2011.6123     1.99     -1.08     3.5306     5.6568
2011.6151     2.99     2.36     3.4475     5.3327
2011.6205     3.94     0.11     3.0359     4.7326
2011.6233     6.41     0.84     2.9938     4.8130
2011.6260     7.99     -3.73     2.8132     4.4754
2011.6288     4.36     -3.97     2.9500     4.7302
2011.6315     5.68     8.07     3.6705     5.7530
2011.6342     6.79     -2.29     3.3580     5.3312
2011.6370     4.84     -3.10     3.1730     5.0655
2011.6397     7.59     1.10     3.4501     5.4077
2011.6425     5.56     -2.00     2.9028     4.7290
2011.6452     7.52     -2.70     3.3560     5.3301
2011.6479     5.50     1.02     3.0416     4.8137
2011.6507     7.88     -0.35     2.8132     4.4756
2011.6534     7.26     -3.33     3.0412     4.8131
2011.6562     7.91     -0.72     3.1315     4.9844
2011.6589     5.13     0.18     3.3939     5.4060
2011.6616     6.28     4.60     3.3959     5.4061
2011.6644     8.42     6.02     3.7128     5.9979
2011.6671     3.38     2.63     3.7097     5.8295
2011.6699     6.19     -2.24     2.9023     4.6430
2011.6726     4.30     -0.95     3.0359     4.7330
2011.6753     5.27     -0.36     2.9048     4.8102
2011.6781     7.26     -3.14     2.8603     4.8081
2011.6808     5.46     -0.31     2.9917     4.7314
2011.6836     3.63     -1.29     2.9505     4.8119
2011.6863     3.36     2.82     2.9920     4.8122
2011.6890     5.08     -2.10     2.5925     4.3058
2011.6918     8.13     -4.27     2.9514     4.9790
2011.6945     3.66     -2.04     2.6781     4.3088
2011.6973     5.53     -4.84     2.9912     4.6458
2011.7000     3.79     -2.39     2.6382     4.3065
2011.7027     4.75     -4.83     2.9920     4.8124
2011.7055     6.51     -4.25     2.9505     4.8111
2011.7082     5.84     -1.56     2.9912     4.6460
2011.7110     6.91     -0.94     3.4480     4.9951
2011.7137     3.80     -1.06     2.7697     4.3116
2011.7164     3.20     -4.41     3.0821     4.8976
2011.7192     7.09     -3.56     3.0376     4.7329
2011.7219     4.18     1.11     3.1717     4.8178
2011.7247     0.50     -7.85     2.9475     4.5684
2011.7274     2.02     0.06     4.0096     5.8663
2011.7301     3.57     -2.25     2.6866     4.2428
2011.7329     5.47     1.39     3.2262     4.8195
2011.7356     3.54     0.21     2.8137     4.5650
2011.7384     3.19     -2.33     2.5916     4.1435
2011.7411     3.64     -3.37     2.9019     4.5672
2011.7438     5.55     0.08     3.2147     5.0666
2011.7493     5.41     -1.08     2.9903     4.4812
2011.7521     4.81     -1.03     2.5530     4.1432
2011.7548     3.81     -1.06     2.5014     3.8890
2011.7575     5.65     -2.93     2.5911     4.0547
2011.7603     7.53     -0.81     2.8123     4.3125
2011.7630     6.25     0.43     3.0354     4.6472
2011.7658     5.83     -2.51     2.7257     4.4728
2011.7685     5.59     -3.89     2.7690     4.4748
2011.7712     6.32     2.90     3.0816     4.8149
