#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.2096     -4.73     1.12     4.1381     4.9283
2011.2123     2.75     4.28     4.4952     5.3529
2011.2151     3.44     11.07     4.9603     5.7256
2011.2178     0.32     5.15     4.7418     5.5100
2011.2205     10.93     10.81     4.3157     5.1216
2011.2233     7.81     8.76     4.4533     5.2921
2011.2260     4.43     8.27     4.5980     5.4317
2011.2288     2.06     2.06     4.4383     5.1882
2011.2315     1.84     2.62     4.2401     5.1422
2011.2342     -0.81     1.09     4.0009     4.7853
2011.2370     -1.24     1.63     4.0247     4.8320
2011.2397     0.03     3.09     4.1979     4.9005
2011.2425     -1.26     1.60     4.5845     5.3280
2011.2452     -0.38     0.96     4.5230     5.3214
2011.2479     -1.73     0.62     5.0119     5.7792
2011.2507     -1.90     3.60     4.2609     5.0558
2011.2534     -5.29     -1.95     4.4253     5.1586
2011.2562     -2.77     7.34     4.2850     5.0687
2011.2589     9.39     5.48     4.5202     5.2924
2011.2616     6.53     3.19     4.8241     5.4970
2011.2644     2.20     11.00     4.5630     5.3167
2011.2671     -5.08     -0.92     5.9079     6.1068
2011.2699     3.86     9.79     4.4533     5.1744
2011.2726     -2.70     1.27     4.3746     5.1534
2011.2753     -3.56     2.66     4.9404     5.7145
2011.2781     -2.86     1.72     4.3359     5.1316
2011.2808     -5.14     1.52     4.3164     5.1219
2011.2836     1.64     0.70     4.4698     5.1832
2011.2863     -0.84     0.80     4.6568     5.4895
2011.2890     -1.47     -1.20     4.3596     5.1449
2011.2918     1.12     0.42     4.6787     5.5119
2011.2945     -0.23     2.75     4.2841     5.1300
2011.2973     -0.52     1.47     4.2471     5.1101
2011.3000     -2.83     -0.24     4.6526     5.4977
2011.3027     -6.41     1.05     4.7085     5.6133
2011.3055     -1.39     5.06     4.1790     4.9503
2011.3082     -0.41     1.69     4.3026     5.0725
2011.3110     -1.82     3.96     4.5128     5.3244
2011.3137     -1.94     3.71     4.5423     5.2456
2011.3164     -0.81     2.53     4.7444     5.5720
2011.3192     0.53     -0.11     5.6445     6.3435
2011.3219     -0.60     2.10     4.0232     4.8312
2011.3247     -2.41     2.72     4.3255     5.0907
2011.3274     0.44     3.22     4.2587     5.0492
2011.3301     -4.42     -1.73     4.7952     5.6133
2011.3329     -1.51     1.93     4.8541     5.6457
2011.3356     0.19     -1.31     5.4425     6.3554
2011.3384     -1.16     0.57     4.6578     5.4413
2011.3411     -1.80     -0.99     4.9001     5.7348
2011.3438     -1.11     3.87     4.2441     5.0467
2011.3466     -1.68     -0.16     4.7581     5.6574
2011.3493     -2.40     -0.15     4.8607     5.7306
2011.3521     -1.49     -1.81     4.9930     5.8186
2011.3548     -0.66     0.49     4.5014     5.2821
2011.3603     2.58     4.26     5.0524     5.8903
2011.3630     3.13     3.35     5.2372     6.2444
2011.3658     -0.02     0.83     4.1563     5.0357
2011.3685     0.28     -1.17     4.5232     5.4524
2011.3712     0.57     2.18     4.6758     5.5706
2011.3740     -1.23     0.58     4.3973     5.2629
2011.3767     0.51     2.41     4.1548     5.0730
2011.3822     0.32     1.06     4.7021     5.4881
2011.3849     -3.17     -0.70     4.3540     5.2396
2011.3877     -0.56     2.42     4.6940     5.5582
2011.3904     -2.26     -0.72     4.6923     5.6669
2011.3932     -2.11     -0.17     4.6144     5.5375
2011.3959     1.66     1.21     4.1151     5.0142
2011.4014     -1.30     2.54     4.2304     5.1125
2011.4041     0.39     1.21     4.9042     5.8091
2011.4068     -1.01     -0.95     4.5768     5.3007
2011.4096     -0.51     0.78     4.2520     5.1244
2011.4123     3.21     2.27     4.9568     5.8574
2011.4151     -3.98     -0.38     4.5342     5.3546
2011.4178     -3.07     -3.52     4.8680     5.8490
2011.4205     -3.42     -0.83     4.6536     5.6171
2011.4233     -0.73     2.65     4.5801     5.4218
2011.4260     -3.33     -3.74     4.6364     5.5497
2011.4288     -1.86     0.55     4.7305     5.6762
2011.4315     -1.49     -4.37     4.6679     5.5915
2011.4342     -1.45     -0.33     4.4202     5.2931
2011.4370     1.25     1.09     4.2557     5.1263
2011.4397     1.43     0.93     4.2951     5.1677
2011.4425     0.71     4.80     4.4589     5.4416
2011.4452     -0.09     -2.23     4.5207     5.4882
2011.4479     0.59     -2.44     4.4470     5.4749
2011.4507     0.04     -0.06     4.2583     5.2240
2011.4534     -0.35     -0.53     4.2686     5.1332
2011.4562     0.17     1.22     4.5729     5.5160
2011.4589     -1.11     3.90     4.2726     5.2148
2011.4616     0.84     1.44     4.0292     4.9466
2011.4644     0.31     1.01     4.7925     5.8299
2011.4671     -2.25     -1.49     5.3476     6.4444
2011.4699     -0.09     1.72     4.9066     5.8517
2011.4726     -1.59     -0.08     4.4080     5.3063
2011.4753     1.04     0.53     4.1004     5.0689
2011.4781     -0.24     4.85     4.9501     5.9043
2011.4808     -3.50     3.42     4.5718     5.5152
2011.4836     -1.27     1.94     4.1251     5.0198
2011.4863     0.31     1.11     4.3983     5.3244
2011.4890     -0.52     -1.04     4.0483     4.8954
2011.4918     -1.45     -1.35     4.3413     5.1927
2011.4945     1.02     -1.16     4.3881     5.3176
2011.4973     2.98     0.55     4.2090     5.0219
2011.5000     -1.40     0.01     4.1605     5.0388
2011.5027     0.31     -0.56     4.2282     5.1916
2011.5055     1.14     1.88     3.9683     4.7943
2011.5082     -1.47     -0.96     4.0305     4.9471
2011.5110     -1.93     2.24     4.2764     5.1428
2011.5137     -0.47     -1.66     4.8025     5.7548
2011.5192     0.08     3.23     4.3487     5.2749
2011.5247     1.94     -0.49     4.3282     5.2441
2011.5301     0.80     1.41     4.5920     5.5433
2011.5329     -1.44     0.64     4.7732     5.9411
2011.5356     -2.50     3.36     3.8501     4.6418
