#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.4342     4.44     1.18     4.9579     5.3013
2011.4370     5.47     -2.23     4.8067     5.0450
2011.4397     1.16     -3.04     4.5518     4.7885
2011.4425     5.02     -4.69     4.6775     5.1013
2011.4452     1.71     -4.98     5.0902     5.4706
2011.4479     7.37     -4.46     4.7452     5.0370
2011.4507     5.86     -7.14     4.2650     4.7324
2011.4534     5.47     -3.21     4.8282     5.0676
2011.4562     6.95     -2.36     4.6674     4.9500
2011.4589     9.38     -3.45     4.4589     4.7920
2011.4616     7.57     -3.15     4.7700     5.0781
2011.4644     4.40     -5.97     4.8996     5.0966
2011.4671     5.66     -3.99     4.8203     4.9820
2011.4699     3.99     -2.31     5.5030     5.8416
2011.4726     4.58     -3.20     4.8095     5.1208
2011.4753     4.06     -1.05     4.7474     4.9717
2011.4781     2.56     -2.82     4.1351     4.3508
2011.4973     5.41     -5.45     4.2546     4.5801
2011.5000     3.36     -4.79     4.0696     4.4100
2011.5027     7.82     -1.19     4.4492     4.6367
2011.5055     2.27     1.36     3.9910     4.3148
2011.5082     4.39     -3.00     4.6256     5.0392
2011.5110     7.42     -2.24     5.3015     5.5155
2011.5137     1.52     -4.25     5.3036     5.5158
2011.5164     2.02     -1.46     4.2599     4.5076
2011.5192     1.58     -3.64     4.4024     4.6841
2011.5219     -0.49     -1.02     5.0210     5.3846
2011.5247     1.63     -3.42     4.9845     5.2857
2011.5274     4.89     -5.36     5.0959     5.4721
2011.5301     2.47     -7.43     4.9471     5.2191
2011.5329     5.97     -6.46     5.1225     5.6597
2011.5356     4.21     -3.95     4.2473     4.4978
2011.5384     1.13     -5.24     4.3398     4.6213
2011.5411     1.67     -8.47     4.4599     4.7590
2011.5438     3.03     -5.87     4.4834     4.6417
2011.5466     4.32     -5.73     4.1908     4.4984
2011.5493     3.86     -2.96     4.0057     4.3325
2011.5521     5.99     -5.76     9.8869     7.8036
2011.5548     5.86     -6.24     4.8671     4.7669
2011.5575     3.76     -1.64     5.2926     5.3755
2011.5603     1.40     -3.08     5.1447     5.3279
2011.5630     1.96     -2.92     5.0436     5.0995
2011.5658     0.78     -5.87     5.0729     5.1633
2011.5685     2.80     -4.44     4.8119     5.1982
2011.5740     5.88     -7.63     5.2204     5.3395
2011.5767     2.84     -0.58     5.7708     6.5430
2011.5795     -0.08     -3.36     5.2958     5.6560
2011.5822     4.83     -2.55     5.2740     5.2661
2011.5849     -1.80     -2.19     5.1505     5.1852
2011.5877     5.09     -3.85     5.2926     5.5794
2011.5904     0.57     -3.01     5.0698     5.1632
2011.5932     2.24     -0.54     4.6513     4.9737
2011.5959     1.58     -9.69     4.6630     4.8652
2011.5986     2.03     -3.35     4.6921     4.7597
2011.6014     3.27     -2.27     4.8628     5.1152
2011.6041     5.18     -4.21     4.2248     4.6054
2011.6068     3.68     -3.50     4.4011     4.7436
2011.6205     2.40     -1.75     4.2488     4.4984
2011.6342     0.55     -5.52     4.4610     4.7598
2011.6370     1.20     -4.61     4.5992     4.8589
2011.6397     4.64     0.83     4.6969     4.8098
2011.6425     4.41     -4.96     5.0051     5.1485
2011.6452     4.31     -2.85     4.7956     4.8874
2011.6479     3.41     -3.56     4.6585     4.7931
2011.6507     6.33     -3.14     4.7387     5.0339
2011.6534     0.41     -1.23     4.3898     4.6712
2011.6562     1.41     -3.85     3.9818     4.1583
2011.6589     3.22     -1.69     4.2519     4.5067
2011.6616     0.81     -3.38     4.9459     5.2802
2011.6671     2.96     -4.24     5.4342     5.5281
2011.6699     2.64     -1.38     4.7932     5.1485
2011.6726     2.06     -2.34     4.8683     4.8248
2011.6753     2.49     -3.43     5.3347     5.2034
2011.6781     2.45     -3.82     4.6327     4.9553
2011.6808     6.94     -3.23     4.3830     4.5172
2011.6836     3.82     -2.68     4.2873     4.6808
2011.6863     1.64     -2.10     5.0307     5.3221
