#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2014.7877     -3.05     -3.38     3.2169     4.6234
2014.7904     -1.26     -1.64     3.2520     4.7258
2014.7932     -3.10     -2.96     3.0688     4.4341
2014.7959     -2.09     -5.76     3.4363     5.1850
2014.7986     -3.06     -0.83     3.5042     5.0674
2014.8014     -2.86     -3.85     3.5763     5.3704
2014.8041     -3.94     -4.81     3.4704     5.1244
2014.8068     -1.50     -4.99     3.4535     4.9968
2014.8096     -3.73     -5.05     3.3007     4.7933
2014.8123     -4.12     -2.12     3.1182     4.6532
2014.8151     -3.93     -2.61     3.2548     4.7860
2014.8178     -1.44     -5.68     3.3202     4.8747
2014.8205     -4.52     -1.97     3.3179     4.8650
2014.8233     -1.72     -1.34     3.0954     4.5164
2014.8260     -3.65     -2.44     2.9840     4.2641
2014.8288     -3.02     -1.22     3.0791     4.4486
2014.8315     -1.45     -5.11     3.3759     4.8926
2014.8342     -3.04     -5.93     3.1871     4.6779
2014.8370     -2.50     -2.78     2.9762     4.2546
2014.8397     -2.91     -2.04     3.0491     4.3515
2014.8425     -3.15     -2.86     2.9768     4.2538
2014.8452     -3.24     -4.58     2.9973     4.2807
2014.8479     -2.74     -1.91     3.2256     4.6937
2014.8507     -1.83     -2.76     2.8429     4.0746
2014.8534     -3.34     -3.23     3.0034     4.3471
2014.8562     -3.56     -4.63     2.7144     3.9563
2014.8589     -3.98     -4.15     2.7852     4.0464
2014.8616     -3.51     -1.69     2.7032     3.8874
2014.8644     -3.45     -4.06     3.1524     4.5936
2014.8671     -2.54     -2.67     2.7858     4.0478
2014.8699     -4.81     -4.61     2.9763     4.2533
2014.8726     -2.09     -3.23     3.1526     4.5960
2014.8753     -2.55     -2.37     2.8435     4.0757
2014.8781     -4.06     -2.56     2.9453     4.3167
2014.8808     -3.38     -4.80     2.8788     4.2266
2014.8836     -3.01     -5.44     2.9259     4.2374
2014.8863     -3.00     -4.35     2.9435     4.3134
2014.8890     -3.32     -5.52     2.6280     3.7868
2014.8918     -2.36     -4.24     2.8026     4.1216
2014.8945     -2.57     -4.84     3.2250     4.6910
2014.8973     -2.64     -5.81     2.7687     3.9763
2014.9000     -4.04     -7.10     2.9556     4.3290
2014.9027     -3.04     -4.25     3.0119     4.4059
2014.9055     -2.24     -3.99     2.9937     4.3287
2014.9082     -2.47     -3.70     2.8439     4.0758
2014.9110     -2.35     -5.13     2.9821     4.2561
2014.9137     -2.90     -4.59     2.9620     4.3870
2014.9164     -1.57     -4.53     2.6954     3.8780
2014.9192     -1.97     -4.09     2.9637     4.3957
2014.9219     -2.13     -5.11     3.1891     4.7473
2014.9247     -3.17     -4.77     3.1118     4.5861
2014.9274     -2.34     -3.45     2.8719     4.2186
2014.9301     -2.53     -5.24     2.7854     4.0475
2014.9329     -1.91     -5.08     2.8354     4.0656
2014.9356     -1.86     -3.81     2.6561     3.8704
2014.9384     -1.14     -7.56     2.8791     4.2267
2014.9411     -1.98     -4.06     2.8044     4.1267
2014.9438     -3.17     -5.04     2.8707     4.2156
2014.9466     -3.34     -5.47     2.8217     4.1996
2014.9493     -2.12     -4.00     2.7313     4.0298
2014.9521     -1.59     -7.57     2.9079     4.3697
2014.9548     -2.16     -4.75     2.7855     4.0486
2014.9575     -1.18     -4.93     2.6448     3.8587
2014.9603     -3.83     -3.68     2.7306     4.0284
2014.9630     -1.44     -4.56     2.6452     3.8598
2014.9658     -2.40     -3.87     2.8709     4.2157
2014.9685     -1.25     -5.61     2.7125     3.9509
2014.9712     -1.76     -4.04     2.8008     4.1244
2014.9740     -1.02     -5.33     2.6101     3.7079
2014.9767     -2.21     -4.35     2.7384     4.0375
2014.9795     -1.90     -2.58     2.7308     4.0285
2014.9822     -2.08     -4.10     2.7827     4.0482
2014.9849     -0.54     -5.13     2.7873     4.0559
2014.9877     0.61     -6.29     3.1757     4.6707
2014.9904     -1.32     -2.35     2.9092     4.1640
2014.9932     -2.09     -3.50     2.7487     4.1031
2014.9959     -1.02     -3.93     2.7506     3.8958
2014.9986     -1.20     -4.05     2.6192     3.9329
2015.0014     -1.22     -4.84     2.7387     4.0376
2015.0041     -1.12     -3.40     2.9446     4.3152
2015.0068     0.02     -2.30     2.5476     3.6332
