#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2014.9603     -1.34     2.01     2.7306     4.0284
2014.9630     1.05     1.12     2.6452     3.8598
2014.9658     0.10     1.81     2.8709     4.2157
2014.9685     1.25     0.07     2.7125     3.9509
2014.9712     0.74     1.63     2.8008     4.1244
2014.9740     1.49     0.34     2.6101     3.7079
2014.9767     0.30     1.32     2.7384     4.0375
2014.9795     0.61     3.09     2.7308     4.0285
2014.9822     0.43     1.56     2.7827     4.0482
2014.9849     1.98     0.53     2.7873     4.0559
2014.9877     3.13     -0.64     3.1757     4.6707
2014.9904     1.21     3.30     2.9092     4.1640
2014.9932     0.43     2.14     2.7487     4.1031
2014.9959     1.51     1.72     2.7506     3.8958
2014.9986     1.33     1.59     2.6192     3.9329
2015.0014     1.32     0.79     2.7387     4.0376
2015.0041     1.42     2.23     2.9446     4.3152
2015.0068     2.56     3.33     2.5476     3.6332
2015.0096     2.11     -0.61     2.9229     4.2347
2015.0123     2.91     3.88     2.8952     4.1854
2015.0151     0.56     1.58     2.8898     4.2932
2015.0178     3.99     0.09     2.8713     4.2159
2015.0205     1.23     1.32     2.7825     4.0482
2015.0233     1.43     0.83     2.8406     4.2458
2015.0260     2.82     2.15     2.7392     4.0399
2015.0288     1.49     2.38     2.6278     3.7878
2015.0315     1.26     2.39     2.6623     3.9329
2015.0342     0.69     2.12     2.9266     4.2376
2015.0370     0.91     2.42     2.5241     3.7501
2015.0397     0.71     1.51     2.7136     3.9551
2015.0425     0.59     2.65     2.8042     4.1269
2015.0452     1.54     2.55     2.5790     3.7682
2015.0479     1.81     2.73     2.5446     3.6185
2015.0507     0.84     2.34     2.8794     4.2259
2015.0534     1.82     1.85     2.8252     3.9956
2015.0562     1.36     1.03     2.6772     3.8008
2015.0589     2.32     3.43     2.8717     4.2185
2015.0616     1.03     1.87     2.7385     3.9917
2015.0644     2.94     2.76     2.7197     3.9576
2015.0671     1.34     2.23     2.7616     3.9083
2015.0699     1.97     1.50     2.8000     4.0752
2015.0726     1.61     1.84     3.0669     4.4264
2015.0753     1.39     1.85     2.8431     4.0755
2015.0781     -1.06     3.16     2.9674     4.4112
2015.0808     1.81     1.08     2.9403     4.3100
2015.0836     0.56     1.67     2.9624     4.3893
2015.0863     1.35     2.23     2.8905     4.2978
2015.0890     2.07     2.14     2.8962     4.2992
2015.0918     3.19     1.60     2.9438     4.3107
2015.0945     1.24     1.10     2.9082     4.3698
2015.0973     3.04     2.54     2.8213     4.1984
2015.1000     1.68     3.11     2.9273     4.4475
2015.1027     2.22     3.47     2.8714     4.2172
2015.1055     2.39     1.92     2.9621     4.3881
2015.1082     1.93     -0.29     3.0302     4.4830
2015.1110     1.57     3.41     3.1213     4.6546
2015.1137     2.01     1.19     3.0863     4.7117
2015.1164     3.54     1.90     3.3661     5.0881
2015.1192     0.53     2.62     2.9986     4.5398
2015.1219     3.03     0.63     3.0484     4.5584
2015.1247     1.96     2.17     3.0272     4.6244
2015.1274     1.65     2.66     3.1530     4.5948
